Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;-0.01544302;-0.04552;2.793657;-0.005711972;0.02187477;2.804046;0.007948206;0.3657807;2.795059;-0.02389113;0.5563461;2.743158;-0.1513667;0.2174329;2.837336;-0.2256061;0.01188748;2.937902;-0.1722871;-0.08649621;2.778875;-0.196827;-0.1928315;2.829617;0.1230276;0.2244741;2.725119;0.1668936;0.01815434;2.694174;0.1444036;-0.1640313;2.669585;0.1735667;-0.2123123;2.648937;-0.07855778;-0.1145729;2.808733;-0.1071916;-0.4755144;2.99105;-0.0940558;-0.6853723;3.067151;-0.11913;-0.5990176;3.026924;0.04095077;-0.1058194;2.772925;0.06210271;-0.5316117;2.909958;0.08160655;-0.8457509;2.972661;0.05669264;-0.8972929;2.915391;9/14/2022 4:22:24 PM
Frame 2;-0.01544302;-0.04552;2.793657;-0.005711972;0.02187477;2.804046;0.007948206;0.3657807;2.795059;-0.02389113;0.5563461;2.743158;-0.1513667;0.2174329;2.837336;-0.2256061;0.01188748;2.937902;-0.1722871;-0.08649621;2.778875;-0.196827;-0.1928315;2.829617;0.1230276;0.2244741;2.725119;0.1668936;0.01815434;2.694174;0.1444036;-0.1640313;2.669585;0.1735667;-0.2123123;2.648937;-0.07855778;-0.1145729;2.808733;-0.1071916;-0.4755144;2.99105;-0.0940558;-0.6853723;3.067151;-0.11913;-0.5990176;3.026924;0.04095077;-0.1058194;2.772925;0.06210271;-0.5316117;2.909958;0.08160655;-0.8457509;2.972661;0.05669264;-0.8972929;2.915391;9/14/2022 4:22:24 PM
Frame 3;-0.01544302;-0.04552;2.793657;-0.005711972;0.02187477;2.804046;0.007948206;0.3657807;2.795059;-0.02389113;0.5563461;2.743158;-0.1513667;0.2174329;2.837336;-0.2256061;0.01188748;2.937902;-0.1722871;-0.08649621;2.778875;-0.196827;-0.1928315;2.829617;0.1230276;0.2244741;2.725119;0.1668936;0.01815434;2.694174;0.1444036;-0.1640313;2.669585;0.1735667;-0.2123123;2.648937;-0.07855778;-0.1145729;2.808733;-0.1071916;-0.4755144;2.99105;-0.0940558;-0.6853723;3.067151;-0.11913;-0.5990176;3.026924;0.04095077;-0.1058194;2.772925;0.06210271;-0.5316117;2.909958;0.08160655;-0.8457509;2.972661;0.05669264;-0.8972929;2.915391;9/14/2022 4:22:24 PM
Frame 4;-0.01413704;-0.04624616;2.792748;0.008371493;-0.02266355;2.795388;0.05182876;0.08627565;2.756975;0.008452563;0.3255931;2.768269;-0.1159204;0.1839532;2.794929;-0.1950912;-0.00155044;2.907577;-0.2191472;-0.1926889;2.900753;-0.2486108;-0.2161896;2.945308;0.1620144;-0.01121497;2.676787;0.1684504;0.05285309;2.753421;0.06253015;-0.1606816;2.67845;0.04651581;-0.2455087;2.662652;-0.08056538;-0.1135057;2.808304;-0.0826552;-0.5191119;3.009794;-0.2825153;-0.2788181;2.912317;-0.2025307;-0.400796;2.947697;0.03872194;-0.1431138;2.781;0.06275277;-0.5506397;2.904018;0.08787566;-0.8521409;2.990311;0.06590754;-0.9145512;2.94805;9/14/2022 4:22:24 PM
Frame 5;-0.0137414;-0.07307914;2.800243;-0.002290646;2.366659E-05;2.811048;0.01185197;0.3681529;2.811002;-0.02446842;0.548384;2.755404;-0.1577296;0.2381303;2.864989;-0.1450476;-0.006246272;2.756266;-0.2448948;-0.01838657;2.974858;-0.2841977;-0.02145776;3.011692;0.1157428;0.2364848;2.735869;0.201666;0.05240127;2.636021;0.1030043;-0.0740549;2.470332;0.002347725;-0.1491791;2.347585;-0.07900345;-0.1319011;2.805342;-0.111447;-0.4506508;2.977437;-0.1038937;-0.650839;3.068239;-0.1058786;-0.5904403;3.02639;0.04171384;-0.1337559;2.792662;0.06500962;-0.5624715;2.918182;0.07948492;-0.8844436;2.981432;0.05110706;-0.9335024;2.91736;9/14/2022 4:22:24 PM
Frame 6;-0.01194325;-0.07261432;2.804155;-0.0008648961;0.001046072;2.815009;0.01036737;0.3660374;2.812723;-0.02421518;0.5458479;2.755653;-0.1575993;0.2374588;2.866042;-0.1461103;-0.006495997;2.758283;-0.2474839;-0.02940718;2.975833;-0.2861969;-0.02862097;3.014297;0.1165191;0.2359905;2.735877;0.2047839;0.06801909;2.61552;0.1337694;-0.01464044;2.448305;0.09778158;-0.05041401;2.369423;-0.07376521;-0.1309878;2.811164;-0.1194231;-0.4266553;2.964033;-0.08900945;-0.6293066;3.054631;-0.104661;-0.5567566;3.005657;0.0430898;-0.1334544;2.795625;0.06546237;-0.5631267;2.918351;0.07920161;-0.8854622;2.980865;0.05033849;-0.9341239;2.916978;9/14/2022 4:22:24 PM
Frame 7;-0.01194325;-0.07261432;2.804155;-0.0008648961;0.001046072;2.815009;0.01036737;0.3660374;2.812723;-0.02421518;0.5458479;2.755653;-0.1575993;0.2374588;2.866042;-0.1461103;-0.006495997;2.758283;-0.2474839;-0.02940718;2.975833;-0.2861969;-0.02862097;3.014297;0.1165191;0.2359905;2.735877;0.2047839;0.06801909;2.61552;0.1337694;-0.01464044;2.448305;0.09778158;-0.05041401;2.369423;-0.07376521;-0.1309878;2.811164;-0.1194231;-0.4266553;2.964033;-0.08900945;-0.6293066;3.054631;-0.104661;-0.5567566;3.005657;0.0430898;-0.1334544;2.795625;0.06546237;-0.5631267;2.918351;0.07920161;-0.8854622;2.980865;0.05033849;-0.9341239;2.916978;9/14/2022 4:22:24 PM
Frame 8;-0.01194325;-0.07261432;2.804155;-0.0008648961;0.001046072;2.815009;0.01036737;0.3660374;2.812723;-0.02421518;0.5458479;2.755653;-0.1575993;0.2374588;2.866042;-0.1461103;-0.006495997;2.758283;-0.2474839;-0.02940718;2.975833;-0.2861969;-0.02862097;3.014297;0.1165191;0.2359905;2.735877;0.2047839;0.06801909;2.61552;0.1337694;-0.01464044;2.448305;0.09778158;-0.05041401;2.369423;-0.07376521;-0.1309878;2.811164;-0.1194231;-0.4266553;2.964033;-0.08900945;-0.6293066;3.054631;-0.104661;-0.5567566;3.005657;0.0430898;-0.1334544;2.795625;0.06546237;-0.5631267;2.918351;0.07920161;-0.8854622;2.980865;0.05033849;-0.9341239;2.916978;9/14/2022 4:22:24 PM
Frame 9;-0.004685475;-0.07294571;2.809735;0.008468303;0.0006602106;2.822448;0.047686;0.3716171;2.824376;-0.02396501;0.5442792;2.755952;-0.1428425;0.2281451;2.850935;-0.1470021;-0.007304563;2.760756;-0.2483031;-0.01473964;2.980323;-0.2872369;-0.02485701;3.018008;0.1172552;0.236278;2.736029;0.2183839;0.1192801;2.599551;0.1522012;0.04442272;2.438982;0.1442958;0.04625451;2.40784;-0.06721962;-0.1304262;2.81599;-0.1362095;-0.4298842;2.972717;-0.01048293;-0.6174726;3.018578;-0.08668005;-0.5570008;3.000479;0.04911579;-0.1335805;2.800369;0.06594072;-0.5639393;2.918564;0.07905644;-0.8861023;2.980593;0.0500883;-0.935024;2.917421;9/14/2022 4:22:24 PM
Frame 10;-0.004685475;-0.07294571;2.809735;0.008468303;0.0006602106;2.822448;0.047686;0.3716171;2.824376;-0.02396501;0.5442792;2.755952;-0.1428425;0.2281451;2.850935;-0.1470021;-0.007304563;2.760756;-0.2483031;-0.01473964;2.980323;-0.2872369;-0.02485701;3.018008;0.1172552;0.236278;2.736029;0.2183839;0.1192801;2.599551;0.1522012;0.04442272;2.438982;0.1442958;0.04625451;2.40784;-0.06721962;-0.1304262;2.81599;-0.1362095;-0.4298842;2.972717;-0.01048293;-0.6174726;3.018578;-0.08668005;-0.5570008;3.000479;0.04911579;-0.1335805;2.800369;0.06594072;-0.5639393;2.918564;0.07905644;-0.8861023;2.980593;0.0500883;-0.935024;2.917421;9/14/2022 4:22:24 PM
Frame 11;-0.004685475;-0.07294571;2.809735;0.008468303;0.0006602106;2.822448;0.047686;0.3716171;2.824376;-0.02396501;0.5442792;2.755952;-0.1428425;0.2281451;2.850935;-0.1470021;-0.007304563;2.760756;-0.2483031;-0.01473964;2.980323;-0.2872369;-0.02485701;3.018008;0.1172552;0.236278;2.736029;0.2183839;0.1192801;2.599551;0.1522012;0.04442272;2.438982;0.1442958;0.04625451;2.40784;-0.06721962;-0.1304262;2.81599;-0.1362095;-0.4298842;2.972717;-0.01048293;-0.6174726;3.018578;-0.08668005;-0.5570008;3.000479;0.04911579;-0.1335805;2.800369;0.06594072;-0.5639393;2.918564;0.07905644;-0.8861023;2.980593;0.0500883;-0.935024;2.917421;9/14/2022 4:22:24 PM
