Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;0.0248501;-0.121564;2.975255;0.0166145;-0.06903207;2.984149;-0.04232066;0.2142316;2.994607;-0.1138084;0.4191196;3.025843;-0.1048536;0.1082462;2.964154;-0.1574852;-0.04518515;2.953733;-0.1467353;-0.2301657;2.957951;-0.1496233;-0.292022;2.962592;0.04259134;0.2024856;2.905637;0.05677232;-0.06673215;2.968296;0.049886;0.04811136;2.738667;0.00560964;0.1097564;2.590547;0.004402574;-0.1960041;2.963389;0.01296213;-0.4646486;2.974695;0.005517559;-0.6538831;3.019779;0.05677653;-0.7133455;3.023605;0.07288618;-0.1491552;2.971866;0.07190758;-0.5099787;2.966727;0.02650169;-0.5809051;3.044203;0.01839999;-0.6247941;2.994629;9/14/2022 4:40:30 PM
Frame 2;0.02711917;-0.06427296;2.968635;0.03077127;-0.04020745;2.979446;0.03736034;0.1479542;2.950642;-0.02406914;0.3705222;2.99166;-0.1172328;0.1157457;2.967179;-0.1857523;-0.03335386;2.954394;-0.191193;-0.2104062;2.965104;-0.2067467;-0.2657573;2.977015;0.1140876;0.157025;2.835997;0.03103062;0.01326349;2.98027;0.06282606;0.1555388;2.736798;0.01924676;0.2546041;2.512358;-0.02223171;-0.1530338;2.959702;-0.02961965;-0.4171828;2.983695;-0.008091152;-0.5847272;3.016234;0.0478851;-0.653043;3.016489;0.08046072;-0.1180183;2.968801;0.03460602;-0.4181825;2.974057;0.04468078;-0.5934338;3.009763;0.01654426;-0.6311588;2.952869;9/14/2022 4:40:30 PM
Frame 3;-0.02992894;-0.01128355;2.955601;-0.008820032;0.01566392;2.957758;0.02655927;0.1505342;2.896478;0.01022059;0.3690319;2.935485;-0.1449937;0.131398;2.973459;-0.2129858;-0.02643969;2.964271;-0.1864187;-0.18987;2.937398;-0.1700753;-0.2509988;2.937871;0.1122449;0.1293418;2.784194;0.1086571;0.1069976;2.941189;0.04880692;0.2516828;2.752717;-0.1156262;0.4641025;2.516376;-0.1033996;-0.07048944;2.974187;-0.05815109;-0.3299921;2.967426;-0.01982763;-0.536279;3.011949;0.02453272;-0.5911959;3.004111;0.0259489;-0.07093261;2.961383;0.003000576;-0.3541873;2.976654;0.05236702;-0.5948712;2.992408;0.01314373;-0.6331959;2.937362;9/14/2022 4:40:31 PM
Frame 4;-0.06447919;0.01024027;2.980546;-0.05836168;0.05186638;3.005377;-0.04096834;0.3002452;3.029245;-0.08589183;0.5054337;3.033537;-0.1317415;0.2692966;2.998251;-0.1074439;0.06697574;2.887169;-0.2282809;-0.06991623;2.967408;-0.2207877;-0.1384834;2.979202;0.0414323;0.1188778;2.933764;0.0616313;0.3174685;2.744103;-0.01017703;0.516759;2.657571;-0.04260254;0.6201623;2.616345;-0.09829687;-0.01813249;3.009972;-0.06397705;-0.3156441;2.979169;-0.01594963;-0.5308305;2.99984;-0.02434243;-0.588595;2.932679;-0.03413966;-0.06090008;2.935318;0.01124362;-0.405077;2.967963;0.06701071;-0.5783308;2.998821;0.03788866;-0.6344197;3.008169;9/14/2022 4:40:31 PM
Frame 5;-0.06764498;0.004816411;2.983948;-0.06083257;0.04770495;3.009705;-0.07220206;0.2942855;3.017732;-0.09473538;0.5009194;3.028787;-0.1403444;0.2636424;2.992049;-0.1640429;0.03747191;2.87921;-0.2118205;-0.07939664;2.995254;-0.2104316;-0.1469525;3.000865;0.01635777;0.07114792;2.911567;0.05477129;0.2616945;2.755902;0.005684127;0.468661;2.674879;-0.01343614;0.5159392;2.672683;-0.100426;-0.02311144;3.013482;-0.07736938;-0.3254678;2.991145;-0.01797285;-0.5306535;2.997688;0.005345896;-0.5829787;2.954735;-0.02813154;-0.07271212;2.938696;0.01053309;-0.4132268;2.96905;0.06841778;-0.5802875;3.001989;0.03820935;-0.6362948;3.01055;9/14/2022 4:40:31 PM
Frame 6;-0.05336416;0.007035071;2.973477;-0.04985408;0.04571243;2.998667;-0.06341295;0.2428454;2.986816;-0.0862868;0.4611101;3.001703;-0.183246;0.165327;2.988188;-0.216329;-0.01908002;2.950553;-0.2037023;-0.1660811;2.988895;-0.1998076;-0.218598;2.991328;0.04937188;0.1353281;2.907582;0.08152883;0.2878511;2.740174;0.02582844;0.4875547;2.64872;0.002001083;0.5020853;2.678076;-0.08987404;-0.04012181;2.985875;-0.08002689;-0.3295001;2.994157;-0.02176823;-0.5305529;2.995501;-0.02631307;-0.5709628;2.93697;0.01352498;-0.05823527;2.930278;0.02366681;-0.402409;2.972032;0.0647764;-0.5810756;3.001972;0.03576092;-0.6326404;2.961658;9/14/2022 4:40:31 PM
Frame 7;-0.03464618;0.01816463;2.964725;-0.02813799;0.06301542;2.989967;-0.04930345;0.2917951;2.993434;-0.07552481;0.4982736;3.00294;-0.1781332;0.1460353;2.985597;-0.2349551;-0.03623637;2.980393;-0.1993771;-0.1977083;2.980761;-0.1964187;-0.2418893;2.98707;0.07501731;0.2592727;2.932061;0.09980961;0.3463144;2.721851;0.04359678;0.5382608;2.613557;0.005477047;0.5743012;2.624688;-0.0787301;-0.0414474;2.974092;-0.07894808;-0.3314188;2.993169;-0.0244616;-0.5299713;2.994498;0.002419473;-0.5807746;2.970199;0.03581396;-0.04115428;2.926547;0.02931272;-0.3871383;2.972556;0.06125756;-0.5819863;3.001534;0.03612256;-0.6321348;2.94224;9/14/2022 4:40:31 PM
Frame 8;-0.02687319;-0.01787837;2.962111;-0.02691654;0.02392567;2.988379;-0.07599977;0.2420637;2.99496;-0.09574118;0.4642253;3.002215;-0.1919799;0.1244022;2.99052;-0.2145613;-0.04982373;2.97829;-0.2005481;-0.212493;2.977625;-0.1979833;-0.2547534;2.986592;0.08915319;0.2234314;2.929961;0.07618761;0.2868563;2.696184;0.006209978;0.4702176;2.582679;-0.03789848;0.5215448;2.586709;-0.08002483;-0.08694282;2.952212;-0.08775559;-0.3416024;2.996998;-0.02535327;-0.530554;2.993735;-0.01506391;-0.5784969;2.943183;0.05645952;-0.07258452;2.947613;0.03046415;-0.383157;2.972674;0.05838867;-0.5826987;3.001115;0.03319719;-0.6431281;2.973165;9/14/2022 4:40:31 PM
Frame 9;-0.01659507;-0.03983376;2.9588;0.002513885;-0.01035894;2.974008;0.03332295;0.1876768;2.940716;-0.004331081;0.4153943;2.954804;-0.091654;0.1013633;2.94796;-0.2098129;-0.03986467;2.976218;-0.2025314;-0.2074478;2.972271;-0.1989093;-0.2536602;2.983675;0.08875152;0.2121313;2.921028;0.1221998;0.2960665;2.72842;0.07416496;0.4277427;2.574045;0.03737607;0.490585;2.56583;-0.0665962;-0.09911959;2.950603;-0.08773427;-0.3450117;2.993832;-0.0266206;-0.5313227;2.992819;0.01616627;-0.5924438;2.971703;0.05225648;-0.08410989;2.953722;0.0303878;-0.3797693;2.972113;0.05609398;-0.5822373;3.000717;0.03350948;-0.6451783;2.984122;9/14/2022 4:40:31 PM
Frame 10;-0.01237379;-0.04201855;2.957725;0.004581222;0.01969346;2.980872;0.009202218;0.3323005;2.999644;-0.0141321;0.5206103;2.995788;-0.1106543;0.1248903;2.954891;-0.1933704;-0.0224628;2.958188;-0.2042125;-0.194083;2.968274;-0.2002602;-0.2441141;2.980797;0.0868597;0.2098608;2.913614;0.1317019;0.3287422;2.720227;0.09386121;0.471973;2.57794;0.05807913;0.5255604;2.563344;-0.06098834;-0.09951638;2.951513;-0.08938696;-0.3421986;2.988345;-0.02911504;-0.5278336;2.990896;-0.02162759;-0.5702413;2.941705;0.04997749;-0.08310374;2.952983;0.02962903;-0.3773375;2.971175;0.05350842;-0.5813584;3.000143;0.02981536;-0.6366625;2.963622;9/14/2022 4:40:31 PM
