Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 11;-0.1286961;0.100348;2.879882;-0.1228969;0.1665246;2.893666;-0.1249017;0.4836677;2.875706;-0.1554221;0.6494631;2.828351;-0.3348682;0.4116985;2.990563;-0.3564785;0.1902736;3.027778;-0.309265;-0.007150105;2.925589;-0.2883157;-0.06469375;2.886953;-0.01039302;0.3654853;2.818267;0.0437003;0.1845987;2.817531;0.06500959;0.3875254;2.658424;0.03757766;0.4305997;2.622014;-0.1786862;0.0176479;2.895269;-0.2685457;-0.2859822;3.023541;-0.04057335;-0.2331478;2.894199;-0.1203597;-0.325724;2.968629;-0.0684115;0.0535688;2.863106;-0.02703154;-0.2597786;2.907188;-0.006829481;-0.4971933;3.002388;-0.01748105;-0.5706903;2.974866;9/14/2022 4:05:15 PM
Frame 12;-0.1286961;0.100348;2.879882;-0.1228969;0.1665246;2.893666;-0.1249017;0.4836677;2.875706;-0.1554221;0.6494631;2.828351;-0.3348682;0.4116985;2.990563;-0.3564785;0.1902736;3.027778;-0.309265;-0.007150105;2.925589;-0.2883157;-0.06469375;2.886953;-0.01039302;0.3654853;2.818267;0.0437003;0.1845987;2.817531;0.06500959;0.3875254;2.658424;0.03757766;0.4305997;2.622014;-0.1786862;0.0176479;2.895269;-0.2685457;-0.2859822;3.023541;-0.04057335;-0.2331478;2.894199;-0.1203597;-0.325724;2.968629;-0.0684115;0.0535688;2.863106;-0.02703154;-0.2597786;2.907188;-0.006829481;-0.4971933;3.002388;-0.01748105;-0.5706903;2.974866;9/14/2022 4:05:15 PM
Frame 13;-0.1314589;0.1089047;2.883995;-0.1237022;0.1692244;2.894451;-0.1248015;0.4832984;2.87558;-0.155055;0.6493369;2.82857;-0.3555091;0.344103;3.000202;-0.331321;0.10934;2.992127;-0.2797719;-0.05174213;2.873833;-0.2617353;-0.09863967;2.837251;-0.00978989;0.3669917;2.816417;0.05582341;0.01659822;2.897363;0.05988654;0.3148613;2.704979;0.03914341;0.359473;2.656473;-0.1921176;0.02019772;2.901795;-0.3296556;-0.2820371;3.053212;-0.09527648;-0.233406;2.898819;-0.1672002;-0.310731;2.970022;-0.06981178;0.06152505;2.868278;-0.02628631;-0.2568281;2.906419;-0.008563731;-0.4942684;3.001336;-0.003523936;-0.5593259;2.992566;9/14/2022 4:05:15 PM
Frame 14;-0.1336245;0.1175809;2.885408;-0.1252622;0.1740616;2.89427;-0.1247752;0.4827037;2.875562;-0.1548772;0.6492571;2.828714;-0.2546363;0.4039382;2.921151;-0.2962274;0.1363229;2.93546;-0.2754127;-0.05549908;2.872482;-0.2635903;-0.1134475;2.845507;-0.008709159;0.3697289;2.81405;0.04401319;0.0792504;2.867179;0.05490586;0.3235285;2.699664;0.03425167;0.347567;2.664054;-0.195459;0.02767259;2.903929;-0.3128117;-0.256143;3.009769;-0.1458908;-0.4739206;3.029773;-0.1725987;-0.3612567;3.003398;-0.07431086;0.07551839;2.863899;-0.02287138;-0.2494655;2.904117;-0.01223039;-0.4873205;2.99922;-0.03294313;-0.5438912;2.967327;9/14/2022 4:05:15 PM
Frame 15;-0.1342673;0.1195593;2.885765;-0.1259283;0.1758207;2.894189;-0.12474;0.4824837;2.875822;-0.154825;0.6490853;2.828773;-0.266577;0.4278733;2.944228;-0.3416604;0.1890124;2.975927;-0.2514322;-0.0004202481;2.861164;-0.2209512;-0.06200378;2.824271;-0.008297429;0.3706586;2.813515;0.03990832;0.118631;2.845745;0.05421142;0.3502187;2.681238;0.02644031;0.3924558;2.664822;-0.1953496;0.03061936;2.904522;-0.3105323;-0.2513524;3.001485;-0.16289;-0.5070526;3.051389;-0.1781008;-0.3685625;3.011717;-0.07773803;0.07821347;2.864871;-0.01806872;-0.2507579;2.904396;-0.01300052;-0.4874147;2.999455;-0.002932447;-0.5473029;2.965238;9/14/2022 4:05:15 PM
Frame 16;-0.1342673;0.1195593;2.885765;-0.1259283;0.1758207;2.894189;-0.12474;0.4824837;2.875822;-0.154825;0.6490853;2.828773;-0.266577;0.4278733;2.944228;-0.3416604;0.1890124;2.975927;-0.2514322;-0.0004202481;2.861164;-0.2209512;-0.06200378;2.824271;-0.008297429;0.3706586;2.813515;0.03990832;0.118631;2.845745;0.05421142;0.3502187;2.681238;0.02644031;0.3924558;2.664822;-0.1953496;0.03061936;2.904522;-0.3105323;-0.2513524;3.001485;-0.16289;-0.5070526;3.051389;-0.1781008;-0.3685625;3.011717;-0.07773803;0.07821347;2.864871;-0.01806872;-0.2507579;2.904396;-0.01300052;-0.4874147;2.999455;-0.002932447;-0.5473029;2.965238;9/14/2022 4:05:15 PM
Frame 17;-0.1345045;0.1203674;2.885904;-0.126468;0.1768457;2.894125;-0.1247013;0.4825366;2.876394;-0.1484981;0.6547561;2.82928;-0.2651511;0.3869289;2.921439;-0.3362938;0.1912079;2.958999;-0.1982014;0.006658954;2.796443;-0.1557656;-0.05415925;2.752132;-0.007484969;0.3716033;2.813048;0.0394557;0.1296472;2.839046;0.05456056;0.3608022;2.673463;0.02477223;0.4070883;2.664704;-0.1950112;0.0321163;2.904735;-0.3097543;-0.2489977;2.997198;-0.1865484;-0.5182133;3.069315;-0.1936878;-0.3771903;3.023494;-0.07916786;0.07884916;2.864767;-0.01655059;-0.2504438;2.90429;-0.01333787;-0.4870368;2.999372;0.005970456;-0.5529145;2.983536;9/14/2022 4:05:15 PM
Frame 18;-0.1346887;0.1208383;2.886004;-0.1269334;0.177642;2.894122;-0.1256491;0.4828054;2.877643;-0.1477679;0.6556058;2.829619;-0.2574096;0.4180869;2.933119;-0.3198642;0.1846841;2.935069;-0.2387828;-0.009145371;2.837118;-0.2094502;-0.0719216;2.80832;-0.0068568;0.3723576;2.812781;0.03951336;0.1360786;2.834971;0.0481789;0.3707974;2.674796;0.02001006;0.4204704;2.669595;-0.1946612;0.03351288;2.904893;-0.3093966;-0.247659;2.994987;-0.1839126;-0.4915565;3.05518;-0.1978914;-0.3792317;3.025602;-0.08016793;0.07917316;2.864921;-0.01452314;-0.2502364;2.903914;-0.01353359;-0.486821;2.999322;0.009440433;-0.5553063;2.993202;9/14/2022 4:05:15 PM
Frame 19;-0.1346887;0.1208383;2.886004;-0.1269334;0.177642;2.894122;-0.1256491;0.4828054;2.877643;-0.1477679;0.6556058;2.829619;-0.2574096;0.4180869;2.933119;-0.3198642;0.1846841;2.935069;-0.2387828;-0.009145371;2.837118;-0.2094502;-0.0719216;2.80832;-0.0068568;0.3723576;2.812781;0.03951336;0.1360786;2.834971;0.0481789;0.3707974;2.674796;0.02001006;0.4204704;2.669595;-0.1946612;0.03351288;2.904893;-0.3093966;-0.247659;2.994987;-0.1839126;-0.4915565;3.05518;-0.1978914;-0.3792317;3.025602;-0.08016793;0.07917316;2.864921;-0.01452314;-0.2502364;2.903914;-0.01353359;-0.486821;2.999322;0.009440433;-0.5553063;2.993202;9/14/2022 4:05:15 PM
Frame 20;-0.1346622;0.1211601;2.886003;-0.1270394;0.1783339;2.894036;-0.1258754;0.4832458;2.87847;-0.1479523;0.65618;2.829914;-0.2747013;0.3964976;2.938389;-0.3238524;0.187076;2.94253;-0.2720572;0.002443948;2.873149;-0.2412034;-0.06244949;2.840467;-0.006304347;0.3729361;2.812675;0.03944918;0.1390169;2.833204;0.04875613;0.3734514;2.673526;0.034702;0.6637753;2.511199;-0.1941711;0.03462418;2.904943;-0.3090868;-0.2469604;2.993675;-0.1928906;-0.4888265;3.053255;-0.2016816;-0.3822241;3.026586;-0.07985662;0.07889334;2.864477;-0.01274418;-0.2494119;2.903685;-0.01368219;-0.4864931;2.999139;-0.03191222;-0.5503559;2.967146;9/14/2022 4:05:15 PM
