Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;0.9562889;0.04312631;2.250456;0.9734852;0.1150485;2.227043;1.057508;0.468567;2.126806;1.0263;0.6332913;2.097557;0.9914939;0.3721755;2.270923;1.028321;0.2248857;2.040265;0.9454809;0.05283718;2.197686;0.938671;-0.003307548;2.21574;1.04134;0.3466072;2.060728;1.029863;0.1239103;1.960727;0.929732;-0.1038195;1.893305;0.8766262;-0.1630376;1.866444;0.9390602;0.01848686;2.283256;0.995927;-0.4605088;2.408895;0.9629391;-0.788826;2.552815;0.9210445;-0.7905961;2.655671;0.9621005;0.02088074;2.229816;1.074325;-0.3145887;2.331237;1.010304;-0.5876543;2.570063;0.9610671;-0.6849033;2.584513;9/14/2022 3:23:39 PM
Frame 2;0.9562889;0.04312631;2.250456;0.9734852;0.1150485;2.227043;1.057508;0.468567;2.126806;1.0263;0.6332913;2.097557;0.9914939;0.3721755;2.270923;1.028321;0.2248857;2.040265;0.9454809;0.05283718;2.197686;0.938671;-0.003307548;2.21574;1.04134;0.3466072;2.060728;1.029863;0.1239103;1.960727;0.929732;-0.1038195;1.893305;0.8766262;-0.1630376;1.866444;0.9390602;0.01848686;2.283256;0.995927;-0.4605088;2.408895;0.9629391;-0.788826;2.552815;0.9210445;-0.7905961;2.655671;0.9621005;0.02088074;2.229816;1.074325;-0.3145887;2.331237;1.010304;-0.5876543;2.570063;0.9610671;-0.6849033;2.584513;9/14/2022 3:23:39 PM
Frame 3;0.9566668;0.04139049;2.25022;0.9736221;0.1140187;2.226821;1.05751;0.4685565;2.126474;1.026545;0.6330816;2.097733;0.9914449;0.3719396;2.270618;1.028039;0.224775;2.040256;0.9450954;0.05179037;2.196466;0.9380766;-0.005274756;2.213757;1.0411;0.3469119;2.060781;1.030346;0.1240968;1.954426;0.9291439;-0.1020322;1.882145;0.875964;-0.1605783;1.852785;0.939938;0.01569615;2.282895;0.9956539;-0.4615641;2.409326;0.9618627;-0.7931749;2.554993;0.9114338;-0.7981507;2.659959;0.9623356;0.01981016;2.229728;1.075847;-0.3154189;2.330497;1.010788;-0.5880036;2.569688;0.9615425;-0.6852411;2.584114;9/14/2022 3:23:39 PM
Frame 4;0.9571386;0.03989721;2.249901;0.9738574;0.1129965;2.226559;1.057508;0.4685396;2.126224;1.026766;0.6328685;2.097907;0.991428;0.3717853;2.270236;1.027804;0.2247569;2.040148;0.9448304;0.05132743;2.195654;0.9376892;-0.006268878;2.212429;1.040906;0.3471585;2.060831;1.029645;0.1249145;1.948965;0.9270661;-0.09941775;1.872221;0.8743213;-0.1569007;1.83889;0.9409674;0.01296274;2.282311;0.995535;-0.4622543;2.409585;0.9778621;-0.778675;2.536567;0.9111676;-0.8164748;2.609702;0.9626496;0.01900863;2.229551;1.07722;-0.3161579;2.329707;1.011026;-0.5881376;2.569467;0.961849;-0.6853848;2.583777;9/14/2022 3:23:39 PM
Frame 5;0.9576691;0.03871668;2.2495;0.9741532;0.1121203;2.22628;1.05751;0.4685468;2.126122;1.027128;0.632858;2.09808;0.9914166;0.3716758;2.269871;1.027607;0.2247667;2.040018;0.9446235;0.05102427;2.194995;0.9374105;-0.006956317;2.211378;1.040777;0.3475314;2.060877;1.026537;0.1241942;1.940798;0.9211003;-0.09798936;1.858406;0.8688662;-0.1547096;1.822166;0.9419008;0.0107451;2.28164;0.9954903;-0.4627363;2.409745;0.9715078;-0.7917464;2.544006;0.9061767;-0.8233538;2.605059;0.9631312;0.01844913;2.229209;1.078451;-0.3167161;2.328895;1.011268;-0.5881453;2.569221;0.9621606;-0.6853932;2.583433;9/14/2022 3:23:39 PM
Frame 6;0.9581051;0.0378631;2.249162;0.9744152;0.1114371;2.226045;1.057508;0.4685988;2.126059;1.027628;0.6330097;2.098276;0.9913905;0.371553;2.269184;1.027411;0.2247608;2.039769;0.9444588;0.05080571;2.194362;0.9372107;-0.007468315;2.210435;1.04069;0.3478531;2.060916;1.024057;0.1240201;1.934736;0.9141938;-0.09334828;1.84005;0.8604643;-0.1437848;1.793276;0.9425664;0.009195991;2.281135;0.995502;-0.4630032;2.409806;0.9804163;-0.7757263;2.535019;0.9335965;-0.7996491;2.614228;0.96358;0.01809242;2.228867;1.080307;-0.3170901;2.327703;1.012713;-0.5870059;2.569094;0.9635737;-0.6842583;2.582898;9/14/2022 3:23:39 PM
Frame 7;0.9581051;0.0378631;2.249162;0.9744152;0.1114371;2.226045;1.057508;0.4685988;2.126059;1.027628;0.6330097;2.098276;0.9913905;0.371553;2.269184;1.027411;0.2247608;2.039769;0.9444588;0.05080571;2.194362;0.9372107;-0.007468315;2.210435;1.04069;0.3478531;2.060916;1.024057;0.1240201;1.934736;0.9141938;-0.09334828;1.84005;0.8604643;-0.1437848;1.793276;0.9425664;0.009195991;2.281135;0.995502;-0.4630032;2.409806;0.9804163;-0.7757263;2.535019;0.9335965;-0.7996491;2.614228;0.96358;0.01809242;2.228867;1.080307;-0.3170901;2.327703;1.012713;-0.5870059;2.569094;0.9635737;-0.6842583;2.582898;9/14/2022 3:23:39 PM
Frame 8;0.9585081;0.03723117;2.248831;0.9746669;0.1108965;2.225828;1.057501;0.4686669;2.126039;1.028328;0.6334804;2.098583;0.9913357;0.3714346;2.268531;1.027229;0.224756;2.039503;0.9443241;0.05064118;2.193803;0.9370617;-0.00785531;2.209645;1.040628;0.3481044;2.06098;1.02141;0.125031;1.928133;0.9102953;-0.07452708;1.816114;0.8557878;-0.1194459;1.766246;0.9430833;0.008020724;2.280725;0.9963768;-0.4623716;2.409206;0.9690487;-0.7855702;2.540376;0.9152057;-0.821984;2.605953;0.9641218;0.01789429;2.228387;1.082426;-0.3171973;2.326395;1.014389;-0.5857144;2.568613;0.9700471;-0.683551;2.578133;9/14/2022 3:23:39 PM
Frame 9;0.9590619;0.03414198;2.248634;0.9750706;0.1082776;2.225718;1.057497;0.4686788;2.126028;1.028478;0.6333331;2.099543;0.973754;0.3381468;2.271917;1.019762;0.2334644;2.026939;0.9373893;0.07006875;2.19418;0.9304288;0.01040613;2.20965;1.040236;0.3479008;2.061616;1.020512;0.1448008;1.915472;0.9185982;-0.02308647;1.793477;0.8123398;-0.09299763;1.702498;0.9427361;0.001452739;2.281106;0.9946193;-0.4171627;2.383349;0.9657891;-0.7605223;2.52815;0.9127276;-0.8238319;2.59609;0.9651936;0.01554262;2.227944;1.08412;-0.3183533;2.326081;1.016166;-0.5876111;2.568387;0.9717937;-0.6851953;2.577716;9/14/2022 3:23:39 PM
Frame 10;0.9590619;0.03414198;2.248634;0.9750706;0.1082776;2.225718;1.057497;0.4686788;2.126028;1.028478;0.6333331;2.099543;0.973754;0.3381468;2.271917;1.019762;0.2334644;2.026939;0.9373893;0.07006875;2.19418;0.9304288;0.01040613;2.20965;1.040236;0.3479008;2.061616;1.020512;0.1448008;1.915472;0.9185982;-0.02308647;1.793477;0.8123398;-0.09299763;1.702498;0.9427361;0.001452739;2.281106;0.9946193;-0.4171627;2.383349;0.9657891;-0.7605223;2.52815;0.9127276;-0.8238319;2.59609;0.9651936;0.01554262;2.227944;1.08412;-0.3183533;2.326081;1.016166;-0.5876111;2.568387;0.9717937;-0.6851953;2.577716;9/14/2022 3:23:39 PM
