Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;-0.2316494;0.2285535;2.640414;-0.2628439;0.3027839;2.673986;-0.2910294;0.7077865;2.66706;-0.2636691;0.8809002;2.628151;-0.3850756;0.5715687;2.580658;-0.477438;0.3763973;2.472655;-0.4983016;0.1863302;2.392063;-0.4866911;0.1282915;2.36405;-0.1530174;0.5964486;2.742898;-0.05878321;0.4111492;2.892789;0.06308189;0.2312942;2.943412;0.1125735;0.1656838;2.971339;-0.2800061;0.1689925;2.610111;-0.2997302;-0.2144274;2.618674;-0.30447;-0.5335204;2.668225;-0.3315105;-0.5904601;2.624253;-0.1677177;0.1704281;2.661947;-0.1530824;-0.2164417;2.747994;-0.21549;-0.5400693;2.741316;-0.1850314;-0.6076022;2.762859;9/6/2020 9:50:27 PM
Frame 2;-0.2316703;0.2284864;2.640544;-0.2628892;0.3027402;2.674028;-0.291134;0.7076403;2.667026;-0.2632509;0.8815266;2.629567;-0.3851847;0.5714489;2.580748;-0.477546;0.3766604;2.473033;-0.4983834;0.1866172;2.392247;-0.486853;0.1284187;2.364492;-0.1529223;0.5965762;2.743926;-0.05853833;0.4106499;2.892888;0.05895462;0.2372485;2.942185;0.1112509;0.1673418;2.970993;-0.2799621;0.1690396;2.610533;-0.2997496;-0.2144531;2.618635;-0.3043441;-0.5333591;2.668308;-0.3315335;-0.5903494;2.624471;-0.1678202;0.1705161;2.662066;-0.1530966;-0.216709;2.748034;-0.2154375;-0.5400242;2.741266;-0.1847775;-0.6082383;2.759468;9/6/2020 9:50:27 PM
Frame 3;-0.2335616;0.2285836;2.645178;-0.2643227;0.3026375;2.677322;-0.2923866;0.7053772;2.66946;-0.2644412;0.8873549;2.638644;-0.3867024;0.5701385;2.582264;-0.4783316;0.378388;2.475436;-0.4990645;0.1886623;2.393274;-0.4885009;0.1295833;2.368085;-0.1541539;0.5967371;2.744932;-0.05713994;0.4100533;2.892205;0.05230815;0.2482144;2.944435;0.1051988;0.1755677;2.969092;-0.28034;0.1693745;2.614181;-0.2997774;-0.2145869;2.618615;-0.3039494;-0.5327991;2.668491;-0.3324049;-0.5895345;2.62528;-0.1729756;0.1706474;2.668761;-0.1531863;-0.2179842;2.748569;-0.2152323;-0.5397765;2.741003;-0.1841836;-0.6076115;2.758749;9/6/2020 9:50:27 PM
Frame 4;-0.2339327;0.2287985;2.646437;-0.2645643;0.3027593;2.678387;-0.2924431;0.7049068;2.670367;-0.2651765;0.8877706;2.63951;-0.3871855;0.5698268;2.582676;-0.4784827;0.3786049;2.475786;-0.499151;0.1889241;2.39339;-0.4887593;0.1297987;2.368661;-0.1544335;0.5967234;2.744812;-0.05697732;0.4103033;2.892181;0.05292414;0.2477014;2.94498;0.104983;0.1760001;2.968958;-0.2804055;0.1693806;2.615018;-0.2997766;-0.214601;2.618625;-0.3038965;-0.5327542;2.668517;-0.3325756;-0.5893729;2.625342;-0.1737517;0.1708272;2.670431;-0.1531798;-0.2180756;2.748667;-0.2152048;-0.5397674;2.740978;-0.1841568;-0.6075429;2.759069;9/6/2020 9:50:27 PM
Frame 5;-0.2344353;0.2290802;2.648051;-0.264905;0.3029362;2.679785;-0.2924772;0.7042217;2.67155;-0.2662866;0.8884358;2.640584;-0.3880816;0.569379;2.583442;-0.478744;0.3789877;2.476381;-0.4993203;0.189414;2.393582;-0.4892271;0.1301751;2.369718;-0.1546248;0.5966237;2.745004;-0.05658712;0.4105991;2.89281;0.0548484;0.2455715;2.946826;0.1047685;0.1765736;2.968851;-0.2805972;0.1693901;2.616222;-0.2997538;-0.2146094;2.618662;-0.3038081;-0.5326419;2.668538;-0.3327752;-0.5891858;2.625455;-0.1745894;0.1710162;2.672215;-0.1531671;-0.2181952;2.748834;-0.2151611;-0.5397543;2.740937;-0.1846899;-0.6082029;2.757727;9/6/2020 9:50:27 PM
Frame 6;-0.2345568;0.2291289;2.648378;-0.2649981;0.3029689;2.680159;-0.29253;0.703986;2.671976;-0.2666294;0.8887115;2.640933;-0.3884337;0.5691645;2.583781;-0.4788617;0.3791676;2.47664;-0.4993941;0.1896632;2.393635;-0.4894002;0.1303174;2.37011;-0.1548157;0.5964021;2.744963;-0.05653907;0.4106591;2.892954;0.0550375;0.245369;2.947139;0.1047064;0.1767866;2.968855;-0.2806543;0.1693889;2.616372;-0.2997479;-0.2146094;2.618671;-0.3037675;-0.5325723;2.668541;-0.3328148;-0.5891347;2.625492;-0.174739;0.1710413;2.672551;-0.1531601;-0.2182302;2.748904;-0.2151446;-0.5397493;2.740921;-0.1850974;-0.6086405;2.756793;9/6/2020 9:50:27 PM
Frame 7;-0.234765;0.2292137;2.648885;-0.265204;0.3030289;2.680794;-0.2926574;0.7035943;2.672755;-0.2671158;0.8891034;2.641346;-0.3889356;0.5688066;2.584342;-0.4791051;0.3795209;2.477152;-0.4995407;0.1901627;2.393714;-0.4896734;0.1305406;2.37074;-0.1548229;0.5963437;2.745942;-0.05636431;0.4104681;2.893501;0.05544529;0.2448623;2.948012;0.1046902;0.1769786;2.968893;-0.2807525;0.1693844;2.616554;-0.2997408;-0.2146088;2.618681;-0.3037674;-0.5324807;2.668497;-0.3328434;-0.5891336;2.625533;-0.1749332;0.1710588;2.672976;-0.1531463;-0.2182893;2.749036;-0.2149873;-0.539677;2.740927;-0.185472;-0.6091301;2.755632;9/6/2020 9:50:27 PM
Frame 8;-0.2349483;0.2342077;2.649459;-0.2653453;0.3053142;2.681387;-0.2927165;0.7034493;2.673038;-0.2673105;0.8893213;2.641406;-0.3891201;0.5686691;2.584578;-0.4792276;0.3796908;2.477387;-0.4996137;0.190404;2.393748;-0.4897903;0.1306318;2.371007;-0.1548444;0.5963206;2.746047;-0.05636204;0.4104411;2.893612;0.05775203;0.2424447;2.949914;0.1048283;0.1770828;2.968903;-0.2808399;0.1714934;2.615156;-0.2997395;-0.2146087;2.618683;-0.3037757;-0.5324354;2.668464;-0.3328544;-0.5891335;2.62554;-0.1747074;0.1731781;2.674645;-0.1531386;-0.2183149;2.749106;-0.2149313;-0.5396324;2.740907;-0.1853674;-0.6090781;2.755603;9/6/2020 9:50:27 PM
Frame 9;-0.2349584;0.2345962;2.649812;-0.2655355;0.3064788;2.682201;-0.2928557;0.7031363;2.673895;-0.2682693;0.8900199;2.64145;-0.3894638;0.5683349;2.585239;-0.4795818;0.380196;2.478106;-0.4998656;0.1911282;2.39387;-0.4901222;0.1308724;2.371737;-0.1546158;0.5963407;2.746797;-0.05615726;0.4103096;2.894121;0.05680113;0.2453825;2.950733;0.1055563;0.1775397;2.96886;-0.2811142;0.1712444;2.614974;-0.2997348;-0.2145979;2.618703;-0.3037103;-0.532014;2.668334;-0.3327971;-0.5890672;2.625629;-0.1742274;0.1737433;2.675178;-0.1531018;-0.2183431;2.749364;-0.2147915;-0.5394886;2.740817;-0.1850082;-0.6087766;2.755835;9/6/2020 9:50:27 PM
Frame 10;-0.2349584;0.2345962;2.649812;-0.2655355;0.3064788;2.682201;-0.2928557;0.7031363;2.673895;-0.2682693;0.8900199;2.64145;-0.3894638;0.5683349;2.585239;-0.4795818;0.380196;2.478106;-0.4998656;0.1911282;2.39387;-0.4901222;0.1308724;2.371737;-0.1546158;0.5963407;2.746797;-0.05615726;0.4103096;2.894121;0.05680113;0.2453825;2.950733;0.1055563;0.1775397;2.96886;-0.2811142;0.1712444;2.614974;-0.2997348;-0.2145979;2.618703;-0.3037103;-0.532014;2.668334;-0.3327971;-0.5890672;2.625629;-0.1742274;0.1737433;2.675178;-0.1531018;-0.2183431;2.749364;-0.2147915;-0.5394886;2.740817;-0.1850082;-0.6087766;2.755835;9/6/2020 9:50:27 PM
