Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;-0.6240993;-0.01544395;2.900955;-0.5889215;0.01144163;2.892535;-0.435622;0.1709103;2.890698;-0.4179366;0.4073879;2.851019;-0.5188774;0.09937327;2.815077;-0.7722058;0.06240782;2.872469;-0.6868767;0.02194586;2.701212;-0.66743;0.02131179;2.656667;-0.7053107;0.1560003;2.783079;-0.4716767;0.2698723;2.807304;-0.408249;0.4421418;2.779668;-0.3907666;0.513988;2.769428;-0.6073144;-0.08187686;2.889473;-0.7277848;0.2261762;2.696152;-0.7002358;-0.2776393;2.980886;-0.7493895;-0.293912;2.986618;-0.7064981;-0.01836986;2.917379;-0.4131987;0.2054109;2.841733;-0.45478;-0.2072409;2.939151;-0.4663772;-0.2365796;3.043854;9/14/2022 4:11:01 PM
Frame 2;-0.6164806;-0.03186003;2.926434;-0.5883942;0.02075026;2.900974;-0.446784;0.2521712;2.877953;-0.4423447;0.460887;2.836728;-0.5241168;0.1047232;2.813488;-0.7760751;0.06881098;2.871784;-0.6998128;-0.009797816;2.698352;-0.6678479;-0.05742494;2.636828;-0.71678;0.1486794;2.792081;-0.4816012;0.2801636;2.806839;-0.4178441;0.494112;2.775792;-0.3965101;0.5757089;2.769833;-0.5881876;-0.07961577;2.937381;-0.6915355;0.1718983;2.671898;-0.6630245;-0.3398307;3.017388;-0.7192554;-0.4071861;2.994838;-0.6902671;-0.05596265;2.931854;-0.3926038;0.1789195;2.864815;-0.4485993;-0.2212512;2.953562;-0.4541602;-0.236135;3.048099;9/14/2022 4:11:01 PM
Frame 3;-0.6164806;-0.03186003;2.926434;-0.5883942;0.02075026;2.900974;-0.446784;0.2521712;2.877953;-0.4423447;0.460887;2.836728;-0.5241168;0.1047232;2.813488;-0.7760751;0.06881098;2.871784;-0.6998128;-0.009797816;2.698352;-0.6678479;-0.05742494;2.636828;-0.71678;0.1486794;2.792081;-0.4816012;0.2801636;2.806839;-0.4178441;0.494112;2.775792;-0.3965101;0.5757089;2.769833;-0.5881876;-0.07961577;2.937381;-0.6915355;0.1718983;2.671898;-0.6630245;-0.3398307;3.017388;-0.7192554;-0.4071861;2.994838;-0.6902671;-0.05596265;2.931854;-0.3926038;0.1789195;2.864815;-0.4485993;-0.2212512;2.953562;-0.4541602;-0.236135;3.048099;9/14/2022 4:11:01 PM
Frame 4;-0.6129524;-0.04372184;2.935457;-0.5866759;0.01667632;2.907464;-0.4456159;0.2729958;2.87692;-0.438655;0.4730411;2.837691;-0.5250824;0.1056256;2.813294;-0.7770907;0.07048679;2.871714;-0.6769364;0.06508329;2.699198;-0.6750571;0.09316836;2.6666;-0.7189238;0.1476854;2.793491;-0.4689313;0.2190287;2.810848;-0.4093829;0.4251281;2.778366;-0.3892689;0.5005553;2.772736;-0.5793093;-0.102725;2.941551;-0.6638681;0.1825832;2.706078;-0.6561505;-0.3233012;3.01369;-0.7117877;-0.3863994;2.99789;-0.6852766;-0.06651288;2.943079;-0.3864535;0.1685776;2.872545;-0.4540131;-0.2279847;2.959221;-0.4546703;-0.2379284;3.048753;9/14/2022 4:11:01 PM
Frame 5;-0.6115232;-0.04895144;2.938584;-0.5856324;0.01329018;2.910937;-0.4455519;0.2814258;2.876371;-0.4309799;0.4751182;2.843356;-0.5258575;0.1063988;2.813152;-0.7779734;0.07193124;2.871659;-0.6757863;0.1368186;2.697988;-0.6915425;0.2101167;2.682892;-0.7164865;0.1488182;2.794201;-0.4415566;0.1604716;2.793183;-0.4050185;0.380666;2.782663;-0.3904209;0.4722477;2.778989;-0.5762782;-0.1115513;2.937456;-0.6761721;0.189504;2.719069;-0.659731;-0.3120295;3.00958;-0.7150912;-0.3713582;3.000752;-0.6831411;-0.07082418;2.947601;-0.3836896;0.1636443;2.876032;-0.4573931;-0.2301917;2.961495;-0.4577547;-0.2396956;3.048771;9/14/2022 4:11:01 PM
Frame 6;-0.6181811;-0.01520812;2.946196;-0.5884696;0.02768231;2.920783;-0.4454184;0.2854548;2.876281;-0.4240883;0.4698423;2.849142;-0.5263921;0.1071769;2.813239;-0.7786435;0.07327104;2.871793;-0.6740389;0.1550347;2.697919;-0.69503;0.2411032;2.687747;-0.7134218;0.1425747;2.794843;-0.4461583;0.147106;2.842371;-0.4038723;0.3689451;2.783598;-0.3900118;0.4611956;2.777115;-0.5869488;-0.05971832;2.956635;-0.69427;0.1562545;2.661004;-0.6623749;-0.3059171;3.007226;-0.7173292;-0.362753;3.003087;-0.6857728;-0.05956161;2.947762;-0.3917624;0.1782962;2.877652;-0.4617546;-0.2003762;2.948688;-0.4611776;-0.2267727;3.041248;9/14/2022 4:11:01 PM
Frame 7;-0.6246495;-0.02730886;2.929541;-0.5908892;0.02559005;2.919457;-0.4451812;0.2861708;2.878112;-0.4200307;0.4666539;2.851449;-0.5267567;0.1100721;2.814585;-0.778625;0.07370359;2.873592;-0.6539227;0.1371754;2.716739;-0.6807445;0.2319869;2.700087;-0.7129739;0.1413166;2.79479;-0.4447716;0.1371705;2.789505;-0.4099993;0.3879513;2.78136;-0.3943996;0.4677482;2.78166;-0.596967;-0.07561313;2.922428;-0.7140694;0.1904752;2.681941;-0.6666737;-0.3028887;3.004689;-0.7208062;-0.3574894;3.005773;-0.6892488;-0.06008459;2.943761;-0.3938752;0.1789139;2.877363;-0.4971696;-0.2281089;2.925764;-0.4881703;-0.3011895;2.991445;9/14/2022 4:11:01 PM
Frame 8;-0.6246495;-0.02730886;2.929541;-0.5908892;0.02559005;2.919457;-0.4451812;0.2861708;2.878112;-0.4200307;0.4666539;2.851449;-0.5267567;0.1100721;2.814585;-0.778625;0.07370359;2.873592;-0.6539227;0.1371754;2.716739;-0.6807445;0.2319869;2.700087;-0.7129739;0.1413166;2.79479;-0.4447716;0.1371705;2.789505;-0.4099993;0.3879513;2.78136;-0.3943996;0.4677482;2.78166;-0.596967;-0.07561313;2.922428;-0.7140694;0.1904752;2.681941;-0.6666737;-0.3028887;3.004689;-0.7208062;-0.3574894;3.005773;-0.6892488;-0.06008459;2.943761;-0.3938752;0.1789139;2.877363;-0.4971696;-0.2281089;2.925764;-0.4881703;-0.3011895;2.991445;9/14/2022 4:11:01 PM
Frame 9;-0.6674329;-0.06433978;2.920048;-0.6301482;-0.02870786;2.912365;-0.4581517;0.115395;2.886656;-0.3813158;0.2921532;2.848508;-0.5365852;-0.008914194;2.815697;-0.7855269;-0.06209722;2.876979;-0.6643642;0.110623;2.739194;-0.6821586;0.2051085;2.715516;-0.7142009;0.1419767;2.793934;-0.4465058;0.1364809;2.77066;-0.4160859;0.4029406;2.782494;-0.4000943;0.4785135;2.787997;-0.6631578;-0.138;2.909455;-0.6656924;0.1904887;2.724733;-0.6690444;-0.3020076;3.003311;-0.7225963;-0.3554848;3.007048;-0.7570756;-0.07027997;2.938382;-0.4141861;0.08382066;2.895984;-0.4986092;-0.2771122;2.934982;-0.4871477;-0.3581858;2.985585;9/14/2022 4:11:01 PM
Frame 10;-0.6674329;-0.06433978;2.920048;-0.6301482;-0.02870786;2.912365;-0.4581517;0.115395;2.886656;-0.3813158;0.2921532;2.848508;-0.5365852;-0.008914194;2.815697;-0.7855269;-0.06209722;2.876979;-0.6643642;0.110623;2.739194;-0.6821586;0.2051085;2.715516;-0.7142009;0.1419767;2.793934;-0.4465058;0.1364809;2.77066;-0.4160859;0.4029406;2.782494;-0.4000943;0.4785135;2.787997;-0.6631578;-0.138;2.909455;-0.6656924;0.1904887;2.724733;-0.6690444;-0.3020076;3.003311;-0.7225963;-0.3554848;3.007048;-0.7570756;-0.07027997;2.938382;-0.4141861;0.08382066;2.895984;-0.4986092;-0.2771122;2.934982;-0.4871477;-0.3581858;2.985585;9/14/2022 4:11:01 PM
Frame 11;-0.6911629;-0.06198026;2.895183;-0.6496491;-0.03524206;2.894123;-0.4614869;0.0829972;2.889287;-0.3745337;0.2551033;2.84793;-0.5081528;-0.03285744;2.847929;-0.7676798;-0.09095371;2.897626;-0.6755141;0.09255675;2.74837;-0.6878719;0.1792847;2.724491;-0.713108;0.1563602;2.787059;-0.4474194;0.1653493;2.714542;-0.4204004;0.4243414;2.777905;-0.4055355;0.4947047;2.793702;-0.6984869;-0.1444138;2.871361;-0.6226119;0.2284941;2.75562;-0.6531699;-0.1583342;2.955485;-0.6767548;-0.1808632;3.019682;-0.7955848;-0.0565565;2.908764;-0.4212083;0.06773731;2.899277;-0.08026408;-0.05441989;2.934177;-0.1392867;-0.1386978;2.95555;9/14/2022 4:11:01 PM
