HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.263707,-1.46069,0.885958,-0.314649,-1.45268,1.14029,-0.35346,-1.44223,1.329,-0.361419,-1.43474,1.507,-0.48839,-1.38887,1.27474,-0.560503,-1.35983,1.07972,-0.569706,-1.28231,0.851426,-0.567602,-1.27436,0.757595,-0.233296,-1.44414,1.28791,-0.190591,-1.41282,1.0787,-0.151707,-1.3981,0.84428,-0.137902,-1.39575,0.775924,-0.327868,-1.43154,0.881448,-0.307303,-1.44118,0.626672,-0.322815,-1.50452,0.363179,-0.350428,-1.46218,0.449529,-0.220393,-1.43182,0.89314,-0.0309869,-1.37232,0.65436,-0.31628,-1.47501,0.499594,-0.339106,-1.46395,0.420642
-0.251587,-1.45048,0.880605,-0.310772,-1.44389,1.14024,-0.354107,-1.4309,1.33222,-0.36188,-1.40985,1.50671,-0.486545,-1.38017,1.27302,-0.557633,-1.35386,1.08098,-0.573055,-1.24948,0.883829,-0.567084,-1.26306,0.792517,-0.217934,-1.43673,1.30497,-0.20498,-1.35072,1.07275,-0.202536,-1.3329,0.89255,-0.207372,-1.34502,0.854166,-0.313939,-1.41318,0.87199,-0.313607,-1.43323,0.60147,-0.324672,-1.4977,0.337336,-0.294009,-1.40773,0.368126,-0.206078,-1.42457,0.889586,-0.0520673,-1.34982,0.670955,-0.293739,-1.47073,0.416524,-0.284956,-1.36173,0.38182
-0.242059,-1.44963,0.882038,-0.307339,-1.44337,1.14118,-0.353634,-1.43102,1.33271,-0.361305,-1.40905,1.50755,-0.485384,-1.37686,1.27472,-0.547848,-1.35635,1.06989,-0.552414,-1.26972,0.840484,-0.547578,-1.26527,0.756066,-0.215111,-1.43557,1.30741,-0.199069,-1.36624,1.11759,-0.20346,-1.34463,0.939028,-0.205875,-1.34805,0.888806,-0.306404,-1.41318,0.873824,-0.315496,-1.43679,0.595243,-0.326574,-1.48317,0.409017,-0.316536,-1.37124,0.373203,-0.195259,-1.42356,0.890969,-0.0490629,-1.34891,0.6564,-0.301235,-1.47485,0.413471,-0.291371,-1.36296,0.377628
-0.240412,-1.44479,0.881798,-0.304491,-1.4346,1.14034,-0.351832,-1.42069,1.33169,-0.357077,-1.40176,1.50713,-0.489926,-1.36776,1.27618,-0.542967,-1.34842,1.08132,-0.549416,-1.27285,0.851524,-0.533603,-1.26165,0.763849,-0.209961,-1.42978,1.30887,-0.198501,-1.36617,1.11902,-0.1069,-1.37165,0.923767,-0.0958467,-1.35506,0.884903,-0.30531,-1.40926,0.874133,-0.314857,-1.43301,0.604444,-0.322397,-1.48095,0.414496,-0.311612,-1.36754,0.377685,-0.193303,-1.41844,0.89038,-0.0344065,-1.30321,0.570377,-0.315216,-1.47832,0.435588,-0.337003,-1.46471,0.361538
-0.241056,-1.43152,0.88084,-0.30167,-1.42449,1.13704,-0.347457,-1.41241,1.32684,-0.356274,-1.38363,1.50644,-0.483258,-1.35817,1.27715,-0.539187,-1.33251,1.09499,-0.542056,-1.26886,0.865487,-0.528831,-1.25659,0.765793,-0.205344,-1.38565,1.30205,-0.184355,-1.33956,1.11308,-0.145846,-1.32044,0.88127,-0.134307,-1.32028,0.808362,-0.306795,-1.40107,0.874489,-0.313351,-1.43003,0.612038,-0.324247,-1.4808,0.415005,-0.323344,-1.36502,0.377286,-0.19272,-1.39936,0.887908,-0.0418124,-1.2932,0.567369,-0.318293,-1.46783,0.445652,-0.297155,-1.46768,0.379289
-0.238622,-1.42556,0.877588,-0.297184,-1.4196,1.13558,-0.341599,-1.40844,1.32669,-0.353773,-1.38116,1.4998,-0.480416,-1.35477,1.27638,-0.537232,-1.32898,1.09149,-0.534089,-1.26144,0.87115,-0.527422,-1.24968,0.783736,-0.204588,-1.38626,1.30141,-0.184322,-1.34096,1.12037,-0.0895077,-1.334,0.940287,-0.0923006,-1.31197,0.893231,-0.3048,-1.39552,0.871971,-0.319334,-1.41891,0.613286,-0.324546,-1.47909,0.416914,-0.322282,-1.36262,0.378998,-0.1903,-1.39397,0.884506,-0.0525868,-1.28766,0.565199,-0.316255,-1.46834,0.445777,-0.29191,-1.45517,0.375809
-0.236237,-1.41497,0.864981,-0.293067,-1.40864,1.12946,-0.336495,-1.39696,1.32454,-0.349293,-1.37137,1.50388,-0.467422,-1.33687,1.27189,-0.527726,-1.32165,1.08325,-0.521031,-1.24628,0.861371,-0.516223,-1.23131,0.767436,-0.19191,-1.38855,1.31017,-0.194946,-1.32084,1.12617,-0.106349,-1.3131,0.913623,-0.0964181,-1.30504,0.854001,-0.301105,-1.38053,0.85413,-0.32037,-1.4157,0.597873,-0.326773,-1.49562,0.349838,-0.28755,-1.40478,0.376597,-0.189143,-1.38718,0.876634,-0.0718396,-1.27081,0.54989,-0.0138608,-1.20604,0.298964,-0.0278923,-1.11502,0.214616
-0.230314,-1.40019,0.847436,-0.287521,-1.39714,1.11974,-0.331743,-1.38838,1.31994,-0.346134,-1.36831,1.5017,-0.464295,-1.32716,1.27261,-0.522711,-1.31172,1.07788,-0.518007,-1.24338,0.855114,-0.511898,-1.23001,0.769128,-0.183045,-1.3791,1.30923,-0.197247,-1.30982,1.13229,-0.0938563,-1.33134,1.00333,-0.109333,-1.30306,0.935947,-0.296842,-1.36854,0.841175,-0.323025,-1.41877,0.590803,-0.324464,-1.49522,0.346446,-0.307893,-1.41767,0.408702,-0.182066,-1.37019,0.855515,-0.068917,-1.26035,0.526826,-0.0248397,-1.1739,0.222334,-0.0350633,-1.07367,0.148272
-0.23329,-1.36533,0.855583,-0.284775,-1.35401,1.11928,-0.32394,-1.33857,1.31363,-0.327078,-1.32071,1.50113,-0.459883,-1.31589,1.27184,-0.511986,-1.28401,1.0728,-0.516011,-1.2225,0.849325,-0.509531,-1.21074,0.753652,-0.165056,-1.3266,1.30458,-0.134611,-1.29041,1.12981,-0.121707,-1.2498,0.903021,-0.0941928,-1.2421,0.851631,-0.303135,-1.33448,0.852981,-0.322596,-1.39305,0.603011,-0.30339,-1.46348,0.362031,-0.308273,-1.35241,0.326317,-0.181973,-1.33371,0.86022,-0.0876569,-1.23749,0.519327,-0.0506208,-1.16476,0.206074,-0.0546983,-1.05823,0.150583
-0.235128,-1.33234,0.848436,-0.283322,-1.32727,1.11572,-0.321101,-1.31721,1.31307,-0.328531,-1.31398,1.49851,-0.452276,-1.25965,1.26303,-0.515955,-1.24666,1.07474,-0.513699,-1.19179,0.851435,-0.505104,-1.18332,0.759128,-0.174869,-1.28093,1.29903,-0.173381,-1.21376,1.13328,-0.12006,-1.19975,0.912567,-0.112406,-1.20016,0.866527,-0.301776,-1.31359,0.845462,-0.316663,-1.36876,0.584479,-0.307283,-1.45832,0.35231,-0.309071,-1.346,0.316876,-0.188474,-1.28637,0.854243,-0.0981795,-1.21521,0.505574,-0.0871306,-1.13238,0.175328,-0.0779129,-1.0483,0.129519
