HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.128766,-1.42943,0.925808,-0.142659,-1.44146,1.24269,-0.154516,-1.44302,1.47607,-0.142388,-1.41743,1.68647,-0.328473,-1.42785,1.4316,-0.393693,-1.42903,1.181,-0.399369,-1.3645,0.915898,-0.399006,-1.35685,0.86947,-0.0268926,-1.39462,1.40652,-0.0760406,-1.30836,1.11411,0.0208062,-1.30653,0.84712,0.00433616,-1.31845,0.794695,-0.208019,-1.40044,0.932122,-0.226615,-1.37899,0.554409,-0.308651,-1.5581,0.280091,-0.288236,-1.4452,0.394797,-0.0728961,-1.38504,0.920457,0.0101969,-1.37811,0.627271,-0.0190305,-1.38537,0.284513,-0.029907,-1.33722,0.426472
-0.116424,-1.40841,0.945233,-0.13348,-1.42211,1.25059,-0.147156,-1.42428,1.47798,-0.136257,-1.39317,1.68141,-0.316902,-1.40343,1.43155,-0.38864,-1.41082,1.19208,-0.396682,-1.34342,0.91421,-0.393427,-1.33499,0.866442,-0.0160356,-1.37986,1.40925,-0.0434888,-1.28545,1.11686,0.0192295,-1.303,0.844222,0.00568522,-1.30668,0.784745,-0.196045,-1.37791,0.950655,-0.236593,-1.33295,0.623996,-0.291893,-1.4546,0.31146,-0.276562,-1.42667,0.4146,-0.060242,-1.36614,0.940577,-0.0652123,-1.39572,0.62072,0.0519211,-1.36296,0.299238,-0.000344506,-1.32752,0.435788
-0.11192,-1.40026,0.945881,-0.126695,-1.40874,1.2516,-0.139535,-1.40777,1.47827,-0.126577,-1.37422,1.68033,-0.312122,-1.39053,1.43557,-0.3843,-1.39348,1.19399,-0.386127,-1.33263,0.913458,-0.386791,-1.32497,0.867896,-0.00322603,-1.36439,1.41345,-0.0186778,-1.28161,1.09158,0.16438,-1.26047,0.869861,0.157664,-1.25152,0.827467,-0.191584,-1.36981,0.951298,-0.241584,-1.30344,0.618392,-0.26365,-1.42877,0.304136,-0.256729,-1.42994,0.402411,-0.055742,-1.35844,0.94119,-0.0672511,-1.39852,0.615312,0.0466101,-1.36818,0.292799,0.000103044,-1.32773,0.430692
-0.102035,-1.3882,0.935686,-0.1198,-1.39579,1.24522,-0.134649,-1.39421,1.47394,-0.122398,-1.36484,1.67986,-0.30578,-1.37438,1.43318,-0.379274,-1.384,1.2008,-0.382708,-1.31957,0.91647,-0.378745,-1.30401,0.869206,0.00744807,-1.359,1.41808,-0.0191579,-1.2775,1.12225,0.141362,-1.25062,0.903737,0.161378,-1.23621,0.871631,-0.180464,-1.35799,0.938497,-0.243456,-1.27835,0.623976,-0.25471,-1.42585,0.319422,-0.21855,-1.40465,0.413727,-0.0470813,-1.34621,0.933427,-0.0714332,-1.37817,0.621115,0.134477,-1.35366,0.348247,0.0376788,-1.31954,0.461853
-0.0969208,-1.37739,0.945219,-0.11421,-1.38058,1.25211,-0.12887,-1.3752,1.47874,-0.120383,-1.33543,1.68063,-0.30239,-1.36131,1.43365,-0.369955,-1.36384,1.1825,-0.378382,-1.30808,0.918966,-0.376649,-1.29384,0.870671,0.0261828,-1.35002,1.42312,0.00762682,-1.29438,1.09569,0.16646,-1.22431,0.926439,0.159375,-1.21356,0.894228,-0.176167,-1.3456,0.947813,-0.238943,-1.26433,0.618292,-0.217322,-1.41164,0.31495,-0.222422,-1.37669,0.182346,-0.0412981,-1.33702,0.943308,-0.00898395,-1.34989,0.64315,0.00603633,-1.37744,0.301812,-0.0164077,-1.32744,0.444178
-0.0936581,-1.36523,0.951434,-0.110792,-1.36332,1.25538,-0.125596,-1.3541,1.47941,-0.120427,-1.31803,1.68873,-0.298672,-1.34175,1.43918,-0.367051,-1.35253,1.19407,-0.370613,-1.28527,0.911765,-0.373786,-1.27279,0.866304,0.043941,-1.33882,1.42638,0.146753,-1.33596,1.21992,0.165441,-1.22254,0.943769,0.16602,-1.19388,0.899497,-0.174083,-1.32957,0.955125,-0.233768,-1.24781,0.553954,-0.205327,-1.40002,0.203618,-0.21095,-1.32538,0.11646,-0.0372601,-1.32843,0.948487,-0.0379273,-1.36825,0.545323,0.274672,-1.22192,0.561867,0.135083,-1.244,0.550958
-0.0943638,-1.35313,0.949263,-0.109673,-1.34985,1.25438,-0.123121,-1.34044,1.47971,-0.117954,-1.30841,1.68364,-0.297085,-1.32928,1.4368,-0.366624,-1.34359,1.194,-0.367945,-1.27726,0.912955,-0.369451,-1.25728,0.868043,0.0504037,-1.32547,1.43051,0.132348,-1.30452,1.20859,0.16428,-1.2004,0.957072,0.160322,-1.17122,0.905016,-0.175245,-1.32059,0.951735,-0.233757,-1.24175,0.554882,-0.201089,-1.34669,0.214628,-0.196592,-1.28803,0.123126,-0.0372409,-1.31346,0.947873,-0.0170462,-1.33088,0.627136,-0.00252696,-1.41828,0.298571,-0.0155472,-1.33949,0.43438
-0.0917677,-1.34319,0.949174,-0.105818,-1.33662,1.25371,-0.1183,-1.32472,1.47866,-0.116723,-1.28511,1.68103,-0.299087,-1.31904,1.43789,-0.365106,-1.3277,1.20517,-0.364078,-1.26965,0.912299,-0.368313,-1.25362,0.864909,0.0507174,-1.3012,1.43698,0.132884,-1.30199,1.21104,0.164913,-1.19798,0.956267,0.158969,-1.15779,0.909653,-0.173573,-1.31473,0.950827,-0.230781,-1.2308,0.55352,-0.196362,-1.28766,0.187927,-0.208989,-1.1999,0.108547,-0.0336582,-1.2992,0.948836,-0.0154175,-1.32984,0.620921,-0.0416528,-1.39961,0.299376,-0.0272893,-1.32444,0.431195
-0.0910128,-1.32784,0.94548,-0.106634,-1.32027,1.25254,-0.120451,-1.30755,1.47955,-0.117378,-1.25533,1.69004,-0.300095,-1.30131,1.43704,-0.362966,-1.31083,1.20077,-0.36694,-1.24897,0.914844,-0.370194,-1.24288,0.871843,0.0507894,-1.28626,1.43721,0.129706,-1.28137,1.20136,0.164079,-1.17121,0.959134,0.160504,-1.14379,0.906831,-0.173534,-1.29786,0.947205,-0.230289,-1.20974,0.558192,-0.200229,-1.22532,0.202547,-0.214752,-1.08646,0.157792,-0.032433,-1.28641,0.944924,-0.0147046,-1.32676,0.617493,-0.033979,-1.39033,0.303874,-0.0164439,-1.31046,0.431751
-0.0896682,-1.31479,0.943184,-0.106832,-1.3025,1.2485,-0.122148,-1.28608,1.47396,-0.122019,-1.24293,1.68714,-0.300292,-1.28253,1.43027,-0.36253,-1.29911,1.20181,-0.367838,-1.24355,0.911972,-0.373683,-1.23509,0.863323,0.0519624,-1.26751,1.44054,0.127702,-1.26509,1.19213,0.162011,-1.14847,0.943994,0.151668,-1.12259,0.903614,-0.172627,-1.28659,0.945117,-0.22663,-1.20101,0.563957,-0.196934,-1.19021,0.191713,-0.211557,-1.05417,0.147765,-0.0306426,-1.27172,0.94221,-0.00511079,-1.319,0.56499,-0.0396337,-1.39297,0.261362,-0.00627105,-1.31647,0.382352
