HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.119602,-0.423508,0.890886,-0.140929,-0.470943,1.20297,-0.158775,-0.49911,1.43374,-0.16163,-0.521711,1.64721,-0.331233,-0.494488,1.37949,-0.403678,-0.474408,1.1669,-0.413651,-0.372344,0.90711,-0.41838,-0.373313,0.825677,0.00331196,-0.427866,1.39654,0.0887287,-0.372399,1.14204,0.125916,-0.258829,0.91729,0.128748,-0.254922,0.86,-0.205204,-0.407484,0.885202,-0.201644,-0.458159,0.490574,-0.157139,-0.512771,0.15436,-0.190338,-0.424608,0.0777648,-0.0606298,-0.36797,0.899099,0.0124597,-0.226445,0.467533,0.0154942,-0.128922,0.144428,-0.00346709,-0.00269878,0.0964589
-0.117322,-0.416453,0.89117,-0.136519,-0.450654,1.20473,-0.152881,-0.465169,1.43694,-0.156187,-0.499856,1.64823,-0.32765,-0.472479,1.38595,-0.39731,-0.458843,1.16803,-0.416803,-0.369518,0.904396,-0.423504,-0.363367,0.830452,0.0094848,-0.410257,1.39694,0.0922486,-0.36675,1.14328,0.125742,-0.258588,0.916038,0.134109,-0.255286,0.857798,-0.20302,-0.399386,0.886789,-0.20234,-0.45526,0.491444,-0.156877,-0.513376,0.153588,-0.190018,-0.423934,0.0774238,-0.0587386,-0.361956,0.898407,0.00855933,-0.232276,0.468837,0.0173231,-0.163148,0.150867,-0.00457886,-0.0563779,0.0890881
-0.113589,-0.408337,0.893786,-0.131121,-0.440438,1.2057,-0.147067,-0.456596,1.43617,-0.145997,-0.473801,1.64786,-0.324836,-0.460269,1.38681,-0.39319,-0.449094,1.16599,-0.416686,-0.36738,0.900354,-0.426576,-0.360562,0.822675,0.0139515,-0.389858,1.39872,0.0958785,-0.352457,1.1449,0.132197,-0.260687,0.915233,0.140004,-0.250833,0.853648,-0.201462,-0.390547,0.890331,-0.202092,-0.453716,0.491285,-0.156645,-0.513218,0.152424,-0.191579,-0.420766,0.075744,-0.0530839,-0.354338,0.900205,0.0055234,-0.240372,0.47,0.0137437,-0.183264,0.153123,-0.00547275,-0.0707844,0.0848776
-0.111839,-0.390961,0.891121,-0.128982,-0.418416,1.2046,-0.144363,-0.432009,1.43635,-0.142436,-0.452953,1.65066,-0.318245,-0.438071,1.38754,-0.389444,-0.416602,1.15475,-0.414092,-0.35552,0.886833,-0.424001,-0.349848,0.817747,0.0165355,-0.365203,1.39879,0.0992233,-0.336825,1.14536,0.139894,-0.24632,0.904514,0.138018,-0.231001,0.841551,-0.199653,-0.372981,0.887903,-0.201193,-0.448146,0.487505,-0.156763,-0.510881,0.150054,-0.191592,-0.42024,0.0749144,-0.0518521,-0.337719,0.897376,0.00344517,-0.244406,0.471739,0.00717041,-0.201241,0.159488,-0.00944887,-0.0865158,0.0867321
-0.106557,-0.387634,0.891374,-0.122617,-0.414335,1.2054,-0.137043,-0.427337,1.4375,-0.131405,-0.44447,1.65263,-0.311917,-0.429031,1.38943,-0.388638,-0.414105,1.16032,-0.413888,-0.348769,0.890586,-0.417569,-0.342031,0.817642,0.028617,-0.36193,1.39622,0.107134,-0.339043,1.1418,0.15536,-0.255325,0.905005,0.156837,-0.252556,0.843758,-0.193035,-0.368294,0.88891,-0.200025,-0.445882,0.489704,-0.156424,-0.511898,0.151033,-0.187671,-0.431188,0.0809862,-0.0478874,-0.335526,0.897035,0.00433383,-0.266643,0.476399,0.00722041,-0.212751,0.15878,-0.00996979,-0.0919,0.0835671
-0.100053,-0.369095,0.889986,-0.115649,-0.384689,1.20486,-0.130065,-0.387695,1.43765,-0.12011,-0.404752,1.65188,-0.305462,-0.392073,1.39043,-0.38424,-0.391031,1.15675,-0.40858,-0.319225,0.889324,-0.418466,-0.314331,0.821393,0.0357338,-0.339977,1.39414,0.113152,-0.319537,1.14335,0.157706,-0.249022,0.903121,0.158397,-0.237283,0.83603,-0.186469,-0.346772,0.887997,-0.198181,-0.432728,0.487464,-0.154873,-0.510136,0.150022,-0.185723,-0.428549,0.0789544,-0.0419364,-0.320046,0.895161,0.00402802,-0.266338,0.476593,0.00843854,-0.212158,0.154714,-0.00929542,-0.0954235,0.0816115
-0.0948243,-0.358818,0.89096,-0.111538,-0.373882,1.20709,-0.126878,-0.377944,1.4405,-0.115986,-0.386519,1.65753,-0.297432,-0.379125,1.39329,-0.379452,-0.379701,1.1634,-0.407169,-0.315761,0.893108,-0.408768,-0.306434,0.819728,0.0416467,-0.318466,1.39597,0.12065,-0.300943,1.13359,0.164593,-0.231144,0.905939,0.162527,-0.221311,0.83286,-0.182536,-0.340005,0.889582,-0.194869,-0.418347,0.486934,-0.155642,-0.505663,0.150231,-0.188922,-0.417552,0.0760228,-0.0354428,-0.305688,0.895095,0.0044538,-0.264772,0.476059,0.00853836,-0.211708,0.154572,-0.00930604,-0.0953417,0.0814881
-0.0885737,-0.354565,0.891946,-0.104014,-0.366122,1.20818,-0.11812,-0.367011,1.44165,-0.110768,-0.377285,1.65912,-0.290326,-0.370541,1.39714,-0.372013,-0.368736,1.16663,-0.396063,-0.305894,0.895543,-0.398954,-0.294175,0.824716,0.0467787,-0.316139,1.39668,0.127147,-0.300201,1.13335,0.173694,-0.232495,0.912052,0.182926,-0.233243,0.834551,-0.175684,-0.33356,0.891013,-0.191535,-0.411247,0.486947,-0.155667,-0.505561,0.15033,-0.187875,-0.420338,0.0763486,-0.0299607,-0.303568,0.895776,0.0100562,-0.26266,0.479696,0.0094899,-0.212535,0.153499,-0.00913234,-0.0984122,0.080119
-0.081945,-0.318334,0.893804,-0.0964756,-0.322173,1.20974,-0.110062,-0.318607,1.44288,-0.10593,-0.32334,1.66033,-0.278577,-0.321792,1.40108,-0.363841,-0.321928,1.16825,-0.39089,-0.252112,0.898666,-0.394388,-0.254952,0.828555,0.0556641,-0.269712,1.39946,0.133712,-0.266701,1.13535,0.176751,-0.210716,0.905554,0.175723,-0.198514,0.841323,-0.169247,-0.297392,0.893532,-0.192173,-0.367631,0.48263,-0.162374,-0.490327,0.158906,-0.188486,-0.415224,0.0761843,-0.0237622,-0.269002,0.896997,0.00826496,-0.23702,0.486034,0.00738842,-0.206035,0.154055,-0.00919928,-0.0967604,0.0801683
-0.0768398,-0.319894,0.894119,-0.0882267,-0.326907,1.2112,-0.0987969,-0.326529,1.44562,-0.0940263,-0.326103,1.65808,-0.275012,-0.322666,1.40074,-0.35534,-0.324034,1.17082,-0.384775,-0.254863,0.900925,-0.379373,-0.258114,0.832594,0.0641673,-0.273874,1.40014,0.144497,-0.269516,1.14054,0.184317,-0.213513,0.902086,0.198198,-0.213758,0.833409,-0.16367,-0.299305,0.89396,-0.189365,-0.365649,0.481668,-0.161742,-0.490141,0.15963,-0.188501,-0.415661,0.0762207,-0.0191546,-0.270065,0.897211,0.015479,-0.241734,0.484316,0.00875414,-0.206456,0.15356,-0.00898703,-0.0975992,0.0792354
-0.0687948,-0.306373,0.894225,-0.0826711,-0.315375,1.21105,-0.094969,-0.31534,1.44512,-0.0875149,-0.305566,1.65834,-0.267204,-0.307968,1.39958,-0.346763,-0.307856,1.17577,-0.373095,-0.229851,0.907429,-0.376724,-0.218404,0.833439,0.0687885,-0.262131,1.40157,0.15265,-0.26001,1.14116,0.190235,-0.203838,0.904844,0.20105,-0.19482,0.841546,-0.156243,-0.284993,0.893683,-0.193653,-0.322878,0.480789,-0.15946,-0.480417,0.154653,-0.190521,-0.412165,0.0771244,-0.0105404,-0.256904,0.897712,0.0200526,-0.236829,0.484248,0.00982779,-0.206011,0.153202,-0.00858747,-0.0983293,0.0793515
