HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.217254,-1.40994,0.840267,-0.220986,-1.35288,1.09768,-0.230805,-1.29666,1.28868,-0.216246,-1.26522,1.46853,-0.356081,-1.25035,1.22846,-0.416088,-1.26279,1.03146,-0.456191,-1.26223,0.820007,-0.476514,-1.25779,0.731666,-0.0742125,-1.31321,1.28074,-0.283778,-1.27638,1.14263,-0.444079,-1.26657,1.04249,-0.457104,-1.255,0.972244,-0.28615,-1.37684,0.831773,-0.27148,-1.24466,0.487717,-0.257181,-1.23811,0.160046,-0.241612,-1.16266,0.0983233,-0.166155,-1.38172,0.852301,-0.269168,-1.24004,0.473634,-0.241984,-1.23502,0.152014,-0.253508,-1.17241,0.10444
-0.227392,-1.39836,0.846167,-0.229985,-1.33991,1.09979,-0.234559,-1.28976,1.28821,-0.231164,-1.2339,1.47192,-0.35648,-1.23414,1.23237,-0.433546,-1.24074,1.04832,-0.481043,-1.20598,0.786308,-0.478919,-1.2208,0.715478,-0.0798084,-1.30906,1.27882,-0.100294,-1.29566,1.01085,-0.184015,-1.20574,1.25211,-0.195858,-1.24316,1.29172,-0.29539,-1.36309,0.837538,-0.272892,-1.24232,0.489231,-0.257129,-1.23803,0.160164,-0.248427,-1.17263,0.101185,-0.177022,-1.37294,0.857368,-0.270174,-1.23829,0.471775,-0.2429,-1.23464,0.156691,-0.254876,-1.17061,0.0992144
-0.222276,-1.37817,0.853089,-0.231162,-1.31155,1.10704,-0.241106,-1.25443,1.29544,-0.234111,-1.21881,1.46943,-0.362569,-1.21018,1.23058,-0.446051,-1.22148,1.01486,-0.481079,-1.16438,0.785914,-0.478644,-1.17352,0.718093,-0.0842124,-1.27196,1.27721,-0.107898,-1.27359,0.996585,-0.187904,-1.17827,1.25182,-0.212356,-1.20145,1.29948,-0.290265,-1.34706,0.842752,-0.273883,-1.23926,0.490927,-0.258061,-1.23802,0.159835,-0.247609,-1.16956,0.10164,-0.172513,-1.34887,0.86557,-0.269451,-1.23018,0.502702,-0.241727,-1.23377,0.157826,-0.25412,-1.17023,0.103483
-0.212335,-1.35012,0.83676,-0.227397,-1.295,1.10146,-0.239612,-1.24516,1.2948,-0.236328,-1.19065,1.47763,-0.366374,-1.19149,1.23702,-0.44792,-1.20355,1.00365,-0.479845,-1.14625,0.785429,-0.477826,-1.1339,0.727404,-0.0849753,-1.26198,1.27673,-0.0933966,-1.26307,1.00162,-0.36691,-1.20947,1.00111,-0.461208,-1.19231,1.00662,-0.278888,-1.32291,0.829646,-0.275864,-1.23383,0.493836,-0.260496,-1.23445,0.162445,-0.248613,-1.16871,0.10205,-0.164481,-1.31637,0.845607,-0.274215,-1.22304,0.48686,-0.248775,-1.22939,0.160768,-0.254893,-1.1641,0.104482
-0.212931,-1.34455,0.842279,-0.227926,-1.284,1.1047,-0.240508,-1.23073,1.2972,-0.237414,-1.18501,1.47492,-0.367218,-1.17992,1.23994,-0.443688,-1.1904,1.03891,-0.472081,-1.10178,0.809969,-0.475357,-1.07796,0.738054,-0.0883453,-1.24659,1.28107,-0.101101,-1.25208,1.01087,-0.370399,-1.20108,1.01593,-0.460536,-1.17294,1.03254,-0.279737,-1.31425,0.835083,-0.276038,-1.23127,0.494959,-0.26034,-1.23428,0.162983,-0.250221,-1.16689,0.103493,-0.164855,-1.31319,0.851408,-0.275679,-1.22123,0.498663,-0.252861,-1.23074,0.164243,-0.255232,-1.16434,0.104338
-0.207646,-1.33429,0.848531,-0.226945,-1.27488,1.10837,-0.242279,-1.22305,1.30024,-0.238984,-1.17665,1.47738,-0.367315,-1.17073,1.24318,-0.449155,-1.17312,1.04642,-0.471765,-1.08964,0.821124,-0.46767,-1.06677,0.754624,-0.092281,-1.23786,1.27419,-0.102184,-1.24915,1.00831,-0.363109,-1.18602,1.04283,-0.453235,-1.15664,1.07075,-0.274019,-1.30019,0.844184,-0.277171,-1.2302,0.49578,-0.260711,-1.23726,0.163315,-0.255764,-1.1792,0.110213,-0.160226,-1.30672,0.855232,-0.275858,-1.2211,0.498906,-0.254751,-1.23531,0.165406,-0.256227,-1.16355,0.104622
-0.205233,-1.30358,0.832454,-0.228357,-1.23277,1.102,-0.247995,-1.17274,1.30335,-0.258287,-1.11584,1.49035,-0.378757,-1.12909,1.25014,-0.45298,-1.1482,1.04739,-0.472443,-1.02957,0.830213,-0.473678,-1.01252,0.763385,-0.10283,-1.18496,1.28239,0.0147511,-1.32068,1.14624,-0.219914,-1.25407,1.26161,-0.197085,-1.14002,1.29056,-0.272421,-1.27456,0.827231,-0.282014,-1.20569,0.519147,-0.263092,-1.20939,0.168347,-0.273384,-1.13612,0.123551,-0.156961,-1.27146,0.840359,-0.281924,-1.20545,0.51355,-0.260027,-1.21279,0.177562,-0.255842,-1.13667,0.106691
-0.199438,-1.30497,0.836109,-0.225095,-1.2357,1.10443,-0.245646,-1.17754,1.30496,-0.24872,-1.1335,1.48892,-0.37748,-1.13062,1.25048,-0.451431,-1.1471,1.05152,-0.469215,-1.03453,0.851537,-0.465601,-1.00404,0.777037,-0.102676,-1.18742,1.28248,0.00960213,-1.32135,1.14037,-0.0855717,-1.18788,1.29948,-0.129631,-1.19721,1.34796,-0.267205,-1.27475,0.830155,-0.281949,-1.21257,0.504244,-0.259259,-1.23492,0.16589,-0.251882,-1.13739,0.129295,-0.150643,-1.27404,0.844657,-0.281358,-1.20814,0.513011,-0.260533,-1.2304,0.174448,-0.253159,-1.13285,0.137801
-0.195751,-1.29942,0.840593,-0.223709,-1.23545,1.10552,-0.244685,-1.17891,1.30502,-0.247618,-1.1339,1.49228,-0.37746,-1.13017,1.25018,-0.452681,-1.12823,1.05425,-0.466757,-1.03142,0.858084,-0.460578,-0.990247,0.780571,-0.10184,-1.18923,1.28216,0.0331332,-1.3371,1.12622,-0.0512196,-1.20649,1.29001,-0.118451,-1.18511,1.33044,-0.261332,-1.26505,0.837188,-0.283221,-1.21139,0.506591,-0.287399,-1.24081,0.215386,-0.264803,-1.19335,0.132082,-0.148773,-1.27144,0.846967,-0.277613,-1.20526,0.520271,-0.260222,-1.23253,0.170017,-0.252103,-1.13347,0.133185
-0.182453,-1.2788,0.844617,-0.21972,-1.22078,1.1112,-0.246533,-1.16954,1.30959,-0.243737,-1.11135,1.48952,-0.377853,-1.11075,1.26416,-0.454863,-1.07497,1.05389,-0.455031,-0.983717,0.836263,-0.454271,-0.959271,0.769184,-0.0949265,-1.18961,1.29182,0.0373269,-1.33827,1.11913,-0.0589711,-1.20833,1.26509,-0.115841,-1.16455,1.32884,-0.248604,-1.23821,0.839361,-0.285733,-1.20639,0.510135,-0.288217,-1.24316,0.190682,-0.259131,-1.17845,0.108418,-0.136484,-1.2561,0.851837,-0.0970323,-1.34686,0.585772,-0.253163,-1.2369,0.188028,-0.249657,-1.16109,0.0969865
