HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.0276412,-1.36585,0.93909,-0.0270292,-1.35604,1.24911,-0.0237223,-1.34009,1.47728,-0.0251522,-1.28635,1.69574,-0.206933,-1.31795,1.43557,-0.285133,-1.2812,1.17524,-0.261219,-1.10799,0.98834,-0.258424,-1.07195,0.931504,0.161251,-1.33052,1.43771,0.249602,-1.38552,1.16544,0.270991,-1.35093,0.918324,0.262923,-1.35524,0.871537,-0.0995305,-1.32953,0.939517,-0.136675,-1.39519,0.644338,0.068766,-1.07129,0.209929,0.0836398,-0.914939,0.158812,0.0675433,-1.3301,0.940365,0.0959072,-1.22417,0.599622,0.0906754,-1.08345,0.196927,0.123052,-0.909698,0.138521
-0.0244879,-1.31851,0.937546,-0.0200008,-1.31561,1.24565,-0.0150967,-1.30734,1.47364,-0.0173517,-1.25486,1.68834,-0.1994,-1.26368,1.43551,-0.282154,-1.24835,1.18567,-0.263413,-1.09444,0.993354,-0.250868,-1.03116,0.931807,0.168068,-1.27465,1.42528,0.257516,-1.33106,1.13875,0.278383,-1.32651,0.899409,0.269137,-1.32888,0.857356,-0.0974125,-1.28556,0.940594,-0.144566,-1.37523,0.630568,0.07008,-1.0367,0.218927,0.0850947,-0.869077,0.163794,0.0719044,-1.27982,0.936054,0.0849358,-1.17076,0.591769,0.101613,-1.02851,0.193751,0.12441,-0.870496,0.124118
-0.0212165,-1.28545,0.940254,-0.0181573,-1.27056,1.24378,-0.014028,-1.25381,1.46752,-0.00801967,-1.19921,1.68332,-0.198626,-1.22619,1.42321,-0.271985,-1.20469,1.17239,-0.258645,-1.05339,0.979252,-0.248806,-1.00561,0.931324,0.169736,-1.24643,1.42174,0.252204,-1.29702,1.14508,0.280025,-1.29506,0.907541,0.271217,-1.29551,0.856671,-0.0944041,-1.24994,0.94174,-0.135617,-1.32534,0.622242,0.05796,-0.986733,0.214219,0.0760371,-0.823135,0.158938,0.0753502,-1.24946,0.940308,0.0828692,-1.13577,0.573483,0.0984287,-1.00483,0.179742,0.118325,-0.829889,0.109319
-0.00896773,-1.23863,0.937326,-0.0107306,-1.2369,1.24102,-0.00908719,-1.22701,1.46536,-0.00833249,-1.16532,1.67477,-0.194508,-1.18439,1.41794,-0.267433,-1.16893,1.1673,-0.250259,-1.01889,0.973995,-0.242231,-0.973289,0.923296,0.173779,-1.19618,1.41963,0.251187,-1.25645,1.14031,0.284504,-1.24142,0.903609,0.270385,-1.25105,0.848135,-0.0814732,-1.20148,0.937661,-0.128048,-1.28665,0.631678,0.0612274,-0.97985,0.200555,0.0761982,-0.815504,0.146834,0.0868461,-1.20498,0.938699,0.075172,-1.09557,0.543268,0.0695882,-0.970155,0.149503,0.113109,-0.823156,0.110341
-0.00223572,-1.11927,0.934579,0.00247659,-1.10421,1.24317,0.00759938,-1.08909,1.47157,0.0177776,-1.03795,1.68933,-0.170056,-1.06138,1.43064,-0.243202,-1.06937,1.13943,-0.249662,-0.964526,0.915941,-0.234956,-0.916704,0.861663,0.19523,-1.07808,1.41693,0.26657,-1.12491,1.13653,0.280961,-1.10475,0.89422,0.27201,-1.1171,0.837453,-0.0730914,-1.07857,0.938318,-0.117104,-1.1548,0.581276,0.0684603,-0.946944,0.150427,0.0981018,-0.791077,0.0691018,0.0926472,-1.08779,0.932652,0.0826805,-1.02997,0.558695,0.0965374,-0.973848,0.173288,0.0938683,-0.813448,0.0882472
-0.00406582,-1.07503,0.941414,0.00420277,-1.07397,1.24643,0.0118795,-1.06342,1.47268,0.0221539,-1.01232,1.69041,-0.163454,-1.02657,1.43927,-0.237817,-1.03259,1.14104,-0.247798,-0.949197,0.908232,-0.239056,-0.922053,0.872943,0.196578,-1.03189,1.42193,0.275234,-1.07185,1.13874,0.2822,-1.05008,0.894699,0.263244,-1.05614,0.84748,-0.0753312,-1.04307,0.945707,-0.116435,-1.10008,0.574445,0.0682413,-0.94349,0.150637,0.0988992,-0.792583,0.0693835,0.0914432,-1.03754,0.938357,0.0984679,-0.998368,0.598077,0.0749427,-0.952061,0.188458,0.0930144,-0.806124,0.0826121
-0.00204339,-1.04703,0.941297,0.00842184,-1.03532,1.25109,0.0184414,-1.02118,1.48047,0.0243174,-0.974041,1.69912,-0.166124,-0.998346,1.44289,-0.232279,-1.0046,1.14433,-0.247129,-0.951677,0.903721,-0.228732,-0.939917,0.872498,0.202627,-1.00468,1.42408,0.27444,-1.03127,1.14751,0.284358,-1.00484,0.902998,0.263239,-1.00761,0.848878,-0.0732486,-1.0101,0.940904,-0.112778,-1.03842,0.584717,0.0713015,-0.933255,0.169588,0.0978457,-0.787531,0.0674381,0.0934952,-1.01206,0.942743,0.100164,-0.990694,0.597308,0.0755076,-0.936994,0.167639,0.0929643,-0.806922,0.0829258
-0.00651061,-1.00379,0.946365,0.0067857,-1.00896,1.25481,0.0182447,-1.00322,1.48306,0.025398,-0.950663,1.70397,-0.163603,-0.969761,1.45193,-0.237786,-0.985735,1.14538,-0.241395,-0.924327,0.905081,-0.218789,-0.925861,0.845329,0.207684,-0.973776,1.42298,0.277987,-0.983185,1.15286,0.282106,-0.951434,0.907946,0.265651,-0.952875,0.850914,-0.0772575,-0.969983,0.946867,-0.112513,-0.975308,0.591921,0.0732383,-0.86483,0.18657,0.0864801,-0.705562,0.13624,0.088883,-0.968207,0.947309,0.105669,-0.965521,0.601708,0.0752562,-0.940179,0.170733,0.0921158,-0.820143,0.0953783
-0.00739188,-0.970211,0.946423,0.0100038,-0.958744,1.2572,0.0253553,-0.949013,1.4867,0.0328851,-0.906786,1.70776,-0.158959,-0.929872,1.44994,-0.239405,-0.952769,1.13983,-0.243256,-0.919072,0.894394,-0.229002,-0.902507,0.847181,0.202204,-0.925173,1.43207,0.282938,-0.934053,1.15816,0.281261,-0.894295,0.909432,0.262481,-0.892676,0.844714,-0.0785397,-0.934007,0.947467,-0.113464,-0.920029,0.58824,-0.100062,-0.999468,0.219968,-0.0893646,-0.842073,0.168172,0.0884919,-0.935279,0.94705,0.103262,-0.94546,0.596404,0.0747772,-0.942016,0.173494,0.0932571,-0.829749,0.0951875
-0.00811672,-0.940763,0.950026,0.00929123,-0.941167,1.26068,0.0244899,-0.932567,1.49056,0.0288991,-0.883974,1.71093,-0.159861,-0.910917,1.45266,-0.239283,-0.931446,1.14411,-0.236637,-0.900939,0.897277,-0.232745,-0.878459,0.862952,0.204309,-0.90497,1.44105,0.284803,-0.896022,1.15912,0.285865,-0.833354,0.916736,0.275962,-0.827806,0.854027,-0.0785554,-0.907198,0.9511,-0.113481,-0.872191,0.580286,-0.0505323,-1.0966,0.141423,-0.11831,-1.12155,0.0882977,0.087243,-0.904191,0.950503,0.0993705,-0.928666,0.546677,0.0752379,-0.941884,0.169523,0.095516,-0.804987,0.0795312
