HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.00475253,-0.43901,0.930794,-0.0662385,-0.412172,1.21979,-0.114733,-0.385095,1.43327,-0.118167,-0.330057,1.64722,-0.278017,-0.38995,1.38789,-0.324521,-0.446985,1.14539,-0.338076,-0.404053,0.86476,-0.333397,-0.413019,0.800433,0.0651622,-0.358135,1.40314,0.170086,-0.425226,1.14905,0.250117,-0.386359,0.910159,0.259068,-0.377779,0.857656,-0.0854003,-0.418568,0.918671,-0.124898,-0.314808,0.530726,-0.130603,-0.29652,0.161231,-0.164886,-0.17872,0.0756773,0.04893,-0.39447,0.944714,0.137406,-0.482247,0.568945,0.191607,-0.698881,0.177761,0.213753,-0.651062,0.0891915
-0.00967193,-0.423786,0.934672,-0.0713583,-0.397815,1.22389,-0.119707,-0.372016,1.43756,-0.121802,-0.320631,1.64888,-0.284456,-0.374834,1.39345,-0.331859,-0.42402,1.14459,-0.349297,-0.390643,0.890568,-0.354059,-0.359632,0.816932,0.0620136,-0.346908,1.40217,0.163868,-0.404614,1.15772,0.250714,-0.372241,0.912189,0.261447,-0.365112,0.862411,-0.0929098,-0.399916,0.928251,-0.132657,-0.304529,0.525603,-0.130486,-0.293837,0.162241,-0.164714,-0.178321,0.0750282,0.0459432,-0.381882,0.944317,0.143221,-0.486846,0.540169,0.216459,-0.68834,0.150909,0.231874,-0.61581,0.0772689
-0.0127176,-0.410764,0.938407,-0.0736806,-0.385343,1.22878,-0.121511,-0.35984,1.44344,-0.12139,-0.310489,1.65392,-0.288016,-0.363167,1.39848,-0.342399,-0.404413,1.15607,-0.357137,-0.370634,0.893178,-0.359448,-0.350704,0.818148,0.0569941,-0.333855,1.40631,0.162438,-0.397679,1.15852,0.250139,-0.359358,0.91523,0.254928,-0.344556,0.877766,-0.0958441,-0.388235,0.93163,-0.135037,-0.300164,0.524216,-0.130335,-0.292869,0.162708,-0.164495,-0.178293,0.0747876,0.043281,-0.368835,0.947459,0.147704,-0.471256,0.544464,0.240526,-0.619662,0.153843,0.259974,-0.540291,0.0862376
-0.0163919,-0.396817,0.939248,-0.0745179,-0.374037,1.23077,-0.12058,-0.35008,1.4462,-0.122318,-0.299466,1.659,-0.291174,-0.351595,1.40249,-0.347453,-0.39461,1.15349,-0.364006,-0.34901,0.896871,-0.36719,-0.324888,0.820593,0.0551584,-0.327258,1.40767,0.158112,-0.38304,1.15928,0.249292,-0.350606,0.917942,0.260273,-0.337009,0.874602,-0.100318,-0.371746,0.935631,-0.136884,-0.297373,0.525856,-0.130127,-0.292072,0.162675,-0.16421,-0.17799,0.0743259,0.040235,-0.356605,0.945411,0.138584,-0.408314,0.596336,0.256108,-0.547962,0.182254,0.264528,-0.48021,0.0883901
-0.0189038,-0.380982,0.942937,-0.0774406,-0.360146,1.23424,-0.1235,-0.338124,1.44949,-0.121974,-0.293305,1.66082,-0.294931,-0.338381,1.40421,-0.353824,-0.38034,1.15441,-0.376126,-0.322522,0.896757,-0.379001,-0.299079,0.820956,0.0511964,-0.317294,1.40816,0.156553,-0.377906,1.15951,0.247987,-0.342709,0.91946,0.258628,-0.329791,0.871192,-0.101743,-0.358046,0.937632,-0.139444,-0.292773,0.529588,-0.130456,-0.291387,0.163109,-0.163857,-0.177814,0.0739451,0.0366694,-0.339282,0.950434,0.139041,-0.400751,0.59498,0.262897,-0.53088,0.178945,0.266284,-0.435279,0.0913276
-0.021258,-0.370828,0.945205,-0.080551,-0.350786,1.2361,-0.127107,-0.329365,1.45111,-0.12142,-0.283978,1.6656,-0.297714,-0.328446,1.40626,-0.3602,-0.362411,1.15941,-0.381903,-0.302994,0.901641,-0.386296,-0.278569,0.828865,0.0497742,-0.311628,1.40958,0.153649,-0.371609,1.16053,0.24608,-0.330708,0.919627,0.254374,-0.316576,0.869687,-0.104473,-0.345455,0.940305,-0.141856,-0.288683,0.530236,-0.130094,-0.288387,0.158766,-0.162089,-0.17983,0.0726412,0.0347275,-0.331364,0.952123,0.157714,-0.385378,0.540444,0.26763,-0.468856,0.16721,0.262973,-0.379562,0.0918196
-0.0291106,-0.358049,0.947283,-0.085227,-0.341336,1.23851,-0.129906,-0.322037,1.45365,-0.120524,-0.277393,1.66635,-0.298616,-0.318435,1.40996,-0.36758,-0.349707,1.16362,-0.389081,-0.288445,0.903124,-0.389763,-0.262853,0.82975,0.0457814,-0.299729,1.41221,0.151855,-0.367006,1.16109,0.237946,-0.313796,0.935431,0.247141,-0.314913,0.876224,-0.11172,-0.333879,0.942014,-0.145922,-0.283661,0.514929,-0.129308,-0.287715,0.157702,-0.161552,-0.179362,0.0726541,0.026422,-0.317542,0.954397,0.139189,-0.347667,0.587266,0.265292,-0.444028,0.163731,0.267997,-0.330031,0.0870798
-0.0300512,-0.347968,0.947904,-0.086846,-0.333263,1.2394,-0.131693,-0.315623,1.45472,-0.119571,-0.269329,1.66734,-0.298696,-0.308877,1.41305,-0.376377,-0.334618,1.17455,-0.398879,-0.267583,0.906016,-0.399595,-0.240442,0.831704,0.044999,-0.2966,1.41313,0.141912,-0.356907,1.17557,0.236345,-0.318909,0.943521,0.243787,-0.313368,0.879955,-0.111824,-0.322545,0.942584,-0.146392,-0.283436,0.516721,-0.129093,-0.285998,0.156583,-0.161551,-0.179412,0.0726018,0.0246696,-0.308583,0.95501,0.152119,-0.341425,0.539936,0.259779,-0.404485,0.157613,0.265944,-0.305198,0.0864365
-0.0305184,-0.338867,0.949354,-0.0874806,-0.323784,1.24226,-0.132381,-0.305998,1.45874,-0.11838,-0.260951,1.67101,-0.299275,-0.303802,1.41508,-0.377691,-0.327134,1.17704,-0.402083,-0.254277,0.910236,-0.403493,-0.228475,0.837427,0.0445822,-0.291084,1.41322,0.138366,-0.350035,1.17087,0.233026,-0.314826,0.94627,0.230924,-0.304451,0.883548,-0.112815,-0.31289,0.943284,-0.145641,-0.282434,0.519449,-0.129338,-0.285392,0.157023,-0.16184,-0.179335,0.0725439,0.0246108,-0.300083,0.957126,0.149107,-0.325686,0.541075,0.256329,-0.373465,0.163743,0.244695,-0.263322,0.0888609
-0.0329542,-0.329957,0.950929,-0.0885963,-0.316482,1.24439,-0.13263,-0.299786,1.46122,-0.117053,-0.254812,1.67235,-0.300233,-0.296365,1.41776,-0.378925,-0.316334,1.1815,-0.40574,-0.237548,0.916085,-0.404166,-0.210444,0.839451,0.039407,-0.278067,1.41821,0.136628,-0.347526,1.17157,0.227588,-0.307019,0.947277,0.226324,-0.30364,0.88184,-0.115369,-0.304126,0.944351,-0.145843,-0.282329,0.520381,-0.130446,-0.285979,0.159261,-0.16231,-0.179064,0.0724245,0.022269,-0.291109,0.959192,0.120652,-0.28337,0.596325,0.244087,-0.328306,0.164965,0.238471,-0.25162,0.0894249
